流星の間のイシュガルドの駐在武官は、強き心を持つ者を求めているようだ。			流星の間のイシュガルドの駐在武官は、強き心を持つ者を求めているようだ。			傷ついた皇都の魂は							
戦いの中で死んでいった者はもちろん、残された悲しみを抱え、戦いだけが生きる理由だった者。正教の瓦解に心を痛めた者、旧体制のほうが生きやすかった者。			戦いの中で死んでいった者はもちろん、残された悲しみを抱え、戦いだけが生きる理由だった者。正教の瓦解に心を痛めた者、旧体制のほうが生きやすかった者。			戦神よ、我らを導き給え							
この国には様々な考えを持つ者たちがいて……。竜という共通の敵がいなくなったあと、それぞれの思いが溢れだしている。			この国には様々な考えを持つ者たちがいて……。竜という共通の敵がいなくなったあと、それぞれの思いが溢れだしている。			戦神よ、我らを導き給え							
無我夢中で求めた未来のその先は、想像よりずっと困難だった。			無我夢中で求めた未来のその先は、想像よりずっと困難だった。			戦神よ、我らを導き給え							
多様な考えを持つ人々が、ともに生きていくために、いったい自分は、なにができるのか……。			多様な考えを持つ人々が、ともに生きていくために、いったい自分は、なにができるのか……。			戦神よ、我らを導き給え							
そんなことを考えていたところに、君がきてくれた。			そんなことを考えていたところに、君がきてくれた。			戦神よ、我らを導き給え							
公会議の開始まで、まだ少しは時間があるはずだ。せっかくなら、話しながら向かわないか。			公会議の開始まで、まだ少しは時間があるはずだ。せっかくなら、話しながら向かわないか。			戦神よ、我らを導き給え							
公会議の開始まで、まだ少しは時間があるはずだ。せっかくなら少し歩かないか。			公会議の開始まで、まだ少しは時間があるはずだ。せっかくなら少し歩かないか。			戦神よ、我らを導き給え							
まずはそうだな、「フォルタン家伯爵邸」まで向かおう。			まずはそうだな、「フォルタン家伯爵邸」まで向かおう。			戦神よ、我らを導き給え							
このクエストを進行させるには、アイメリクが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、アイメリクが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			戦神よ、我らを導き給え							
同行者がまだ到着していない。近くまで迎えにいって、ともに目的地へ向かおう。			同行者がまだ到着していない。近くまで迎えにいって、ともに目的地へ向かおう。			戦神よ、我らを導き給え							
何をする？			何をする？			戦神よ、我らを導き給え							
話す			話す			戦神よ、我らを導き給え							
同行状態を解除する			同行状態を解除する			戦神よ、我らを導き給え							
キャンセル			キャンセル			戦神よ、我らを導き給え							
少しばかりの時間だが……君と話しながらこの街を歩けることを、嬉しく思うよ。			少しばかりの時間だが……君と話しながらこの街を歩けることを、嬉しく思うよ。			戦神よ、我らを導き給え							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			戦神よ、我らを導き給え							
すまない、Forename。まだ公会議へ向かう準備が整っていなかったか？ならば私は「ラストヴィジル」で君を待っていよう。			すまない、Forename。まだ公会議へ向かう準備が整っていなかったか？ならば私は「ラストヴィジル」で君を待っていよう。			戦神よ、我らを導き給え							
公会議へ向かう準備は整ったようだな。ならば少し話しながら、教皇庁へ向かわないか。			公会議へ向かう準備は整ったようだな。ならば少し話しながら、教皇庁へ向かわないか。			戦神よ、我らを導き給え							
