潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			ベテラン・モブハント（上級）							
ぬぅ……さしあたっての危険はなかろうが、主を人質に取られるのは、どうも生きた心地がせぬ。さっそく、偵察に向かうでござる。			ぬぅ……さしあたっての危険はなかろうが、主を人質に取られるのは、どうも生きた心地がせぬ。さっそく、偵察に向かうでござる。			青き宿敵							
地図によると、ここより南に、ドタール・カー周辺を一望できる高台があるらしい。そこで「見わたす」ことからはじめるとするか。			地図によると、ここより南に、ドタール・カー周辺を一望できる高台があるらしい。そこで「見わたす」ことからはじめるとするか。			青き宿敵							
西に見える天幕が、ドタール・カーか……？おぬしも、そこらから「見わたす」でござる。			西に見える天幕が、ドタール・カーか……？おぬしも、そこらから「見わたす」でござる。			青き宿敵							
むっ……！？Forename殿、あれを見るでござる！			むっ……！？Forename殿、あれを見るでござる！			青き宿敵							
獣に人が襲われておる……！まずいぞ、あの様子では、到底逃げ切れぬ！			獣に人が襲われておる……！まずいぞ、あの様子では、到底逃げ切れぬ！			青き宿敵							
偵察といえど、死にかけている者を見捨てておけるか！急ぎ、助けに行くでござる！			偵察といえど、死にかけている者を見捨てておけるか！急ぎ、助けに行くでござる！			青き宿敵							
Forename殿は、そちらの御仁を！			Forename殿は、そちらの御仁を！			青き宿敵							
ゲホッ……ゴホッ……。すまんな、恩に着る……。			ゲホッ……ゴホッ……。すまんな、恩に着る……。			青き宿敵							
そちらの御仁は、間一髪でござったか。だが、もうひとりは……。			そちらの御仁は、間一髪でござったか。だが、もうひとりは……。			青き宿敵							
拙者が獣を退けたときには、すでに手遅れでござった。爪を受けた場所が悪く、致命傷となったと見える……。			拙者が獣を退けたときには、すでに手遅れでござった。爪を受けた場所が悪く、致命傷となったと見える……。			青き宿敵							
そうか……。それは悔しいやられ方をしたな……。			そうか……。それは悔しいやられ方をしたな……。			青き宿敵							
(-？？？？-)おい、テメェら。いったい何があった？			(-？？？？-)おい、テメェら。いったい何があった？			青き宿敵							
サドゥ様……。申し訳ない、狩りの帰り道に油断して、獰猛なマンザシリの奇襲を受けた。			サドゥ様……。申し訳ない、狩りの帰り道に油断して、獰猛なマンザシリの奇襲を受けた。			青き宿敵							
俺はこのとおり助けられたが、あいつは……。			俺はこのとおり助けられたが、あいつは……。			青き宿敵							
フン……それで、テメェらは何者だ？いかにも余所者ってナリだが、無関係な奴が、こんな砂漠を通るわけがない……。			フン……それで、テメェらは何者だ？いかにも余所者ってナリだが、無関係な奴が、こんな砂漠を通るわけがない……。			青き宿敵							
さては、どこかの部族についてるな？言え、何族の者だ。			さては、どこかの部族についてるな？言え、何族の者だ。			青き宿敵							
拙者たちは、モル族の世話になっておる者。ゆえあって、強豪と音に聞くドタール族の様子を見に参った。			拙者たちは、モル族の世話になっておる者。ゆえあって、強豪と音に聞くドタール族の様子を見に参った。			青き宿敵							
モル族？　あの神託の……？戦なんて滅多にしない、弱小の……！？			モル族？　あの神託の……？戦なんて滅多にしない、弱小の……！？			青き宿敵							
ハハハッ、こいつは珍客だ！しかも、今どき様子を見に来たってことは、テメェらを引き入れて「終節の合戦」に参加する気か！			ハハハッ、こいつは珍客だ！しかも、今どき様子を見に来たってことは、テメェらを引き入れて「終節の合戦」に参加する気か！			青き宿敵							
いや、悪いな……。あんまりに予想外だったもんで、つい楽しくなっちまった。			いや、悪いな……。あんまりに予想外だったもんで、つい楽しくなっちまった。			青き宿敵							
オレは、サドゥ……ドタール族の現族長だ。うちの仲間を助けたのに免じて、少しの偵察なら許そう。			オレは、サドゥ……ドタール族の現族長だ。うちの仲間を助けたのに免じて、少しの偵察なら許そう。			青き宿敵							
