シェシェネ青燐泉付近のエレンヴィルは、町中を観察しているようだ。			シェシェネ青燐泉付近のエレンヴィルは、町中を観察しているようだ。			荒野の掟							
安心できる環境づくりは重要だ			安心できる環境づくりは重要だ			土に囲まれて							
ええ、モブリン族は自分たちが住みやすいように、環境の方を変えてしまうんだとか。トライヨラに馴染もうとしてる僕とは大違いだ。			ええ、モブリン族は自分たちが住みやすいように、環境の方を変えてしまうんだとか。トライヨラに馴染もうとしてる僕とは大違いだ。			土に囲まれて							
ええ、人には最高の環境を求め続けるという、本能があるのかもしれません。			ええ、人には最高の環境を求め続けるという、本能があるのかもしれません。			土に囲まれて							
以前に話したハヌハヌ族の物語もそうですが……いかにして自分たちが、ここに暮らすようになったのかを、語った物語は多いんですよ。			以前に話したハヌハヌ族の物語もそうですが……いかにして自分たちが、ここに暮らすようになったのかを、語った物語は多いんですよ。			土に囲まれて							
パメカさんの一族にも、何かしらあるんじゃないですか？			パメカさんの一族にも、何かしらあるんじゃないですか？			土に囲まれて							
……私は、トライヨラ生まれのトライヨラ育ちです。一族のルーツがどこにあるかということさえ、これまで考えたこともありませんでした。			……私は、トライヨラ生まれのトライヨラ育ちです。一族のルーツがどこにあるかということさえ、これまで考えたこともありませんでした。			土に囲まれて							
もしかして私は、自分の一族に関する語り継ぐべき物語を、すでに失ってしまっているのでしょうか……。			もしかして私は、自分の一族に関する語り継ぐべき物語を、すでに失ってしまっているのでしょうか……。			土に囲まれて							
ちょっと気になってきました。自分の御先祖様がどんな物語を持っていたのか、調べてみようかな。			ちょっと気になってきました。自分の御先祖様がどんな物語を持っていたのか、調べてみようかな。			土に囲まれて							
いいですね！何かわかったら、ぜひ僕にも聞かせてください。			いいですね！何かわかったら、ぜひ僕にも聞かせてください。			土に囲まれて							
最近、少しずつ文字が読めるようになって、これまで以上に、物語に興味が湧いてきてまして……。それでは、僕はこれで失礼します。			最近、少しずつ文字が読めるようになって、これまで以上に、物語に興味が湧いてきてまして……。それでは、僕はこれで失礼します。			土に囲まれて							
