潮風亭のエストリルドは、また道行く人を見定めているようだ。			潮風亭のエストリルドは、また道行く人を見定めているようだ。			ベテラン・モブハント（中級）							
うーむ、身が引き締まった、いい肉だ。かつて、大きな鳥籠が船から落ちてきたことがあってな。籠の中の鳥を食したところ、虜になってしまった。			うーむ、身が引き締まった、いい肉だ。かつて、大きな鳥籠が船から落ちてきたことがあってな。籠の中の鳥を食したところ、虜になってしまった。			陸の珍味							
なにせ、里には陸者など滅多に来ない。碧甲羅の商人から得られる食材も、海産物ばかり……。肉のあの味が、恋しくなるのも無理からぬことだろう？			なにせ、里には陸者など滅多に来ない。碧甲羅の商人から得られる食材も、海産物ばかり……。肉のあの味が、恋しくなるのも無理からぬことだろう？			陸の珍味							
そういえば、鳥とは空を飛ぶものだろう？貴様は飛べるわけでもなさそうなのに、どうやって捕らえるというのだ？			そういえば、鳥とは空を飛ぶものだろう？貴様は飛べるわけでもなさそうなのに、どうやって捕らえるというのだ？			陸の珍味							
なんと真っ向勝負を挑んで、鳥を怒らせ、こちらに向かってくるように仕向けると……。いやはや、陸者は荒々しいものなのだな。			なんと真っ向勝負を挑んで、鳥を怒らせ、こちらに向かってくるように仕向けると……。いやはや、陸者は荒々しいものなのだな。			陸の珍味							
祖先が争いを避け、海に潜ったのも頷けるというものだ。ともあれ、肉を獲ってきてくれて、心から感謝する。兄弟とともに、ありがたく食させてもらう。			祖先が争いを避け、海に潜ったのも頷けるというものだ。ともあれ、肉を獲ってきてくれて、心から感謝する。兄弟とともに、ありがたく食させてもらう。			陸の珍味							
スイの里のクレナイは、冒険者をすがるような眼差しで見つめている。			スイの里のクレナイは、冒険者をすがるような眼差しで見つめている。			紫水宮の姫君							
クレナイから、姉の紅玉姫を救出してほしいと頼まれた。スイの里の「シオサイ」と話そう。			クレナイから、姉の紅玉姫を救出してほしいと頼まれた。スイの里の「シオサイ」と話そう。			紫水宮の姫君							
シオサイと話して、紫水宮へと立ち入る許可を得た。紅玉海は蒼玉海溝の西、紫水宮付近にいる「クレナイ」と話そう。			シオサイと話して、紫水宮へと立ち入る許可を得た。紅玉海は蒼玉海溝の西、紫水宮付近にいる「クレナイ」と話そう。			紫水宮の姫君							
クレナイと話した。紅玉姫を救うため、「海底宮殿 紫水宮」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			クレナイと話した。紅玉姫を救うため、「海底宮殿 紫水宮」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			紫水宮の姫君							
紅玉姫に憑いていた妖異を倒し、紫水宮の奪還に成功した。紫水宮付近の「クレナイ」と話そう。			紅玉姫に憑いていた妖異を倒し、紫水宮の奪還に成功した。紫水宮付近の「クレナイ」と話そう。			紫水宮の姫君							
クレナイによれば、救出された紅玉姫は、いまだに目を覚まさないという。スイの里へ戻り、「クレナイ」と話そう。			クレナイによれば、救出された紅玉姫は、いまだに目を覚まさないという。スイの里へ戻り、「クレナイ」と話そう。			紫水宮の姫君							
クレナイは、約束どおり真実を告げるという。彼女が胸に秘めてきた秘密とは、いったいどのようなものだろうか……？			クレナイは、約束どおり真実を告げるという。彼女が胸に秘めてきた秘密とは、いったいどのようなものだろうか……？			紫水宮の姫君							
