赤誠組屯所前のゴウセツは、どこか申し訳なさそうにしている。			赤誠組屯所前のゴウセツは、どこか申し訳なさそうにしている。			再会と旅立ち							
ケフサンに報告			ケフサンに報告			大盗賊のお宝							
度胸がありそうなアンタに、怪談話聞かせてやるよぉ～。その昔、ひんがしの国の大盗賊が、盗んだお宝を、紅玉海のどこかにある入り江に隠したそうだぁ～。			度胸がありそうなアンタに、怪談話聞かせてやるよぉ～。その昔、ひんがしの国の大盗賊が、盗んだお宝を、紅玉海のどこかにある入り江に隠したそうだぁ～。			大盗賊のお宝							
結局、大盗賊は死ぬまで、その在処を話さなかったそうなぁ～。ところが最近、ある入り江で「どっか行け～、どっか行け～」って、不気味な声が聞こえるという噂があってなぁ～。			結局、大盗賊は死ぬまで、その在処を話さなかったそうなぁ～。ところが最近、ある入り江で「どっか行け～、どっか行け～」って、不気味な声が聞こえるという噂があってなぁ～。			大盗賊のお宝							
お宝を守ろうとする、大盗賊の怨念なんじゃって、オラたちの間で、話題騒然なんだなぁ～。			お宝を守ろうとする、大盗賊の怨念なんじゃって、オラたちの間で、話題騒然なんだなぁ～。			大盗賊のお宝							
なぁなぁ、アンタさん、ちょっくら東の入り江で、「誰かいるのか」って聞いてきてごらんよぉ～。お宝が見つかったら、みんなで山分けさぁ～！			なぁなぁ、アンタさん、ちょっくら東の入り江で、「誰かいるのか」って聞いてきてごらんよぉ～。お宝が見つかったら、みんなで山分けさぁ～！			大盗賊のお宝							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『誰かいるのか』を含む言葉を入力し、噂の真相を突き止めよう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『誰かいるのか』を含む言葉を入力し、噂の真相を突き止めよう。			大盗賊のお宝							
なぁなぁ、アンタさん、ちょっくら東の入り江で、「誰かいるのか」って聞いてきてごらんよぉ～。お宝が見つかったら、みんなで山分けさぁ～！			なぁなぁ、アンタさん、ちょっくら東の入り江で、「誰かいるのか」って聞いてきてごらんよぉ～。お宝が見つかったら、みんなで山分けさぁ～！			大盗賊のお宝							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『誰かいるのか』を含む言葉を入力し、噂の真相を突き止めよう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで、『誰かいるのか』を含む言葉を入力し、噂の真相を突き止めよう。			大盗賊のお宝							
誰かいるのか			誰かいるのか			大盗賊のお宝							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『誰かいるのか』を含む言葉を入力し、噂の真相を突き止めよう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『誰かいるのか』を含む言葉を入力し、噂の真相を突き止めよう。			大盗賊のお宝							
(-どこか遠くからの声-)お、おい……魚が逃げちまうから、静かにしてくれよぉ～。大物を狙うために、銛を構えて待ち伏せしてるんだからぁ～。			(-どこか遠くからの声-)お、おい……魚が逃げちまうから、静かにしてくれよぉ～。大物を狙うために、銛を構えて待ち伏せしてるんだからぁ～。			大盗賊のお宝							
潮風に乗って、どこかからコウジン族の声が聞こえてきた。			潮風に乗って、どこかからコウジン族の声が聞こえてきた。			大盗賊のお宝							
(-どこか遠くからの声-)やっぱり、変な噂がたってるみたいだなぁ～。誰か来ると漁に差し障るから、その度に、どっか行け～って言ってたが、逆に野次馬を呼んじまうとはなぁ～。			(-どこか遠くからの声-)やっぱり、変な噂がたってるみたいだなぁ～。誰か来ると漁に差し障るから、その度に、どっか行け～って言ってたが、逆に野次馬を呼んじまうとはなぁ～。			大盗賊のお宝							
(-どこか遠くからの声-)アンタ、妙な噂があるなら、否定してやってくれんかぁ～。			(-どこか遠くからの声-)アンタ、妙な噂があるなら、否定してやってくれんかぁ～。			大盗賊のお宝							
なんだぁ～ただの待ち伏せしてた、コウジン族の漁師だったのかぁ～。			なんだぁ～ただの待ち伏せしてた、コウジン族の漁師だったのかぁ～。			大盗賊のお宝							
せっかく大物狙ってたってのに、悪いことしちまったなぁ～。漁が上手くいくように、オラも噂を否定してみっかなぁ～。			せっかく大物狙ってたってのに、悪いことしちまったなぁ～。漁が上手くいくように、オラも噂を否定してみっかなぁ～。			大盗賊のお宝							
陸のヒトよ～、ありがとうなぁ～。お宝の山分けができなくて残念だったけど、怨霊の正体がわかったし、これでカンベンしてなぁ～。			陸のヒトよ～、ありがとうなぁ～。お宝の山分けができなくて残念だったけど、怨霊の正体がわかったし、これでカンベンしてなぁ～。			大盗賊のお宝							
碧のタマミズのトウロウは、力自慢の旅人を探しているようだ。			碧のタマミズのトウロウは、力自慢の旅人を探しているようだ。			タマミズの力自慢							
ウンキウを討伐			ウンキウを討伐			タマミズの力自慢							
トウロウと話す			トウロウと話す			タマミズの力自慢							
オメーさん、力自慢かぁ～？オイラもちっとばかし、腕っ節には自信があるんだぁ～。トビザメだって、締め上げてみせるさぁ～！			オメーさん、力自慢かぁ～？オイラもちっとばかし、腕っ節には自信があるんだぁ～。トビザメだって、締め上げてみせるさぁ～！			タマミズの力自慢							
