アプカル滝のヤ・ミトラは、最後の試練の開始を告げようとしている。			アプカル滝のヤ・ミトラは、最後の試練の開始を告げようとしている。			不可視の脅威							
ニゲンの夫と話す			ニゲンの夫と話す			夫も心配な姉							
弱らせたケナガウシに牛獲り縄を使い捕獲			弱らせたケナガウシに牛獲り縄を使い捕獲			夫も心配な姉							
ニゲンの夫に報告			ニゲンの夫に報告			夫も心配な姉							
ニゲンに報告			ニゲンに報告			夫も心配な姉							
あの、頼もしい貴方に、ぜひともお願いしたいことが。弟や妹たちを助けてくれたときのように、力を貸していただけませんか？			あの、頼もしい貴方に、ぜひともお願いしたいことが。弟や妹たちを助けてくれたときのように、力を貸していただけませんか？			夫も心配な姉							
私たちモル族は遊牧民。定期的に住まいである天幕を解体し、移動するのですが、重い天幕を運ぶためには、背負ってくれる獣が必要なのです。			私たちモル族は遊牧民。定期的に住まいである天幕を解体し、移動するのですが、重い天幕を運ぶためには、背負ってくれる獣が必要なのです。			夫も心配な姉							
そこで今、主人たちが、野良のケナガウシを捕まえようとしているのですが、どうも、苦戦しているようでして……。			そこで今、主人たちが、野良のケナガウシを捕まえようとしているのですが、どうも、苦戦しているようでして……。			夫も心配な姉							
お願いです。再会の市のあたりに行った、主人の力になってください。貴方の手助けがあれば、簡単に捕獲できるはずです。			お願いです。再会の市のあたりに行った、主人の力になってください。貴方の手助けがあれば、簡単に捕獲できるはずです。			夫も心配な姉							
再会の市のあたりに行った、主人の力になってください。野良のケナガウシを捕まえるのに、苦戦しているようでして……。			再会の市のあたりに行った、主人の力になってください。野良のケナガウシを捕まえるのに、苦戦しているようでして……。			夫も心配な姉							
アンタ、ケナガウシの捕獲を手伝ってくれるのか？俺たちだけじゃ、小さいの1頭捕まえるので、手一杯なんだ。見たところ力もありそうだから、期待してるぜ。			アンタ、ケナガウシの捕獲を手伝ってくれるのか？俺たちだけじゃ、小さいの1頭捕まえるので、手一杯なんだ。見たところ力もありそうだから、期待してるぜ。			夫も心配な姉							
早速だが、周辺にいる「ケナガウシ」を2頭ほど、弱らせてから、「牛獲り縄」で縛ってくれないか？その後のことは、俺たちに任せてくれ。			早速だが、周辺にいる「ケナガウシ」を2頭ほど、弱らせてから、「牛獲り縄」で縛ってくれないか？その後のことは、俺たちに任せてくれ。			夫も心配な姉							
周辺にいる「ケナガウシ」を2頭ほど、弱らせてから、「牛獲り縄」で縛ってくれないか？その後のことは、俺たちに任せてくれ。			周辺にいる「ケナガウシ」を2頭ほど、弱らせてから、「牛獲り縄」で縛ってくれないか？その後のことは、俺たちに任せてくれ。			夫も心配な姉							
主人には会えましたか？ケナガウシの捕獲、よろしくお願いします。			主人には会えましたか？ケナガウシの捕獲、よろしくお願いします。			夫も心配な姉							
手伝ってくれて、ありがとな。なんで義弟妹がアンタに憧れたのか、よくわかる腕前だったぜ。			手伝ってくれて、ありがとな。なんで義弟妹がアンタに憧れたのか、よくわかる腕前だったぜ。			夫も心配な姉							
俺は、今からケナガウシに引き綱をつけてくるから、アンタは先に帰って、ニゲンから謝礼を受け取ってくれ。じゃあな。			俺は、今からケナガウシに引き綱をつけてくるから、アンタは先に帰って、ニゲンから謝礼を受け取ってくれ。じゃあな。			夫も心配な姉							
