リトルシャーレアンのウリエンジェは、一息ついたようだ。			リトルシャーレアンのウリエンジェは、一息ついたようだ。			右往左往そして……							
ありがとよ！火属性がドバドバ流れ込んできて、炉の温度がガンガン上がりはじめてるぜ！			ありがとよ！火属性がドバドバ流れ込んできて、炉の温度がガンガン上がりはじめてるぜ！			エクスアダマント							
これで準備は万端……あとはエクスアダマントが届きゃいいんだが……。			これで準備は万端……あとはエクスアダマントが届きゃいいんだが……。			エクスアダマント							
ロジスティコン・アルファのクッキングウェイは、いてもたってもいられないようだ。			ロジスティコン・アルファのクッキングウェイは、いてもたってもいられないようだ。			パーフェクトキャロット							
クッキングウェイと話して同行させる			クッキングウェイと話して同行させる			パーフェクトキャロット							
クッキングウェイを連れてジェブケと話す			クッキングウェイを連れてジェブケと話す			パーフェクトキャロット							
連れているクッキングウェイとグレープ畑で話す			連れているクッキングウェイとグレープ畑で話す			パーフェクトキャロット							
連れているクッキングウェイとオレンジ畑で話す			連れているクッキングウェイとオレンジ畑で話す			パーフェクトキャロット							
連れているクッキングウェイとカボチャ畑で話す			連れているクッキングウェイとカボチャ畑で話す			パーフェクトキャロット							
連れているクッキングウェイとレモン畑で話す			連れているクッキングウェイとレモン畑で話す			パーフェクトキャロット							
クッキングウェイを連れてジェブケと話す			クッキングウェイを連れてジェブケと話す			パーフェクトキャロット							
クッキングウェイと話す			クッキングウェイと話す			パーフェクトキャロット							
職員の方に声をかけて、設備の案内や、資料の提供を頼むといたしましょう……。			職員の方に声をかけて、設備の案内や、資料の提供を頼むといたしましょう……。			パーフェクトキャロット							
