クォーリーミルのスィミは、冒険者に託したいものがあるようだ。			クォーリーミルのスィミは、冒険者に託したいものがあるようだ。			聖典の真実							
オレの小遣い、いくらだか知ってるか？田舎にいる女房への送金で、いくらも残ってないよ……。はぁ……警備班は辛いなぁ……。			オレの小遣い、いくらだか知ってるか？田舎にいる女房への送金で、いくらも残ってないよ……。はぁ……警備班は辛いなぁ……。			魔導アーマーを奪取せよ！							
我ら「ガレマール帝国」の力は、未来への道を切り開くためにある。昔、上官に教わった言葉だ……。			我ら「ガレマール帝国」の力は、未来への道を切り開くためにある。昔、上官に教わった言葉だ……。			魔導アーマーを奪取せよ！							
見回りの別働隊の者か？　ご苦労である。……どうした？任務中の会遇は敬礼するのが礼儀であろう。			見回りの別働隊の者か？　ご苦労である。……どうした？任務中の会遇は敬礼するのが礼儀であろう。			魔導アーマーを奪取せよ！							
冒険者……いや、変装中の密偵か？任務中の会遇は敬礼するのが礼儀であろう。怠れば怪しまれるぞ。			冒険者……いや、変装中の密偵か？任務中の会遇は敬礼するのが礼儀であろう。怠れば怪しまれるぞ。			魔導アーマーを奪取せよ！							
うむ、見回りご苦労。……なに、この辺りに怪しいヤツが？やはり不穏分子が居るという密告は本当だったのか。			うむ、見回りご苦労。……なに、この辺りに怪しいヤツが？やはり不穏分子が居るという密告は本当だったのか。			魔導アーマーを奪取せよ！							
うむ、やはり密偵であったか。任務ご苦労。……なに、この辺りに怪しいヤツが？やはり不穏分子が居るという密告は本当だったのか。			うむ、やはり密偵であったか。任務ご苦労。……なに、この辺りに怪しいヤツが？やはり不穏分子が居るという密告は本当だったのか。			魔導アーマーを奪取せよ！							
もし何かあれば、「帝国式発煙筒」を使うんだぞ。我々がすぐに駆けつけるからな。では、引き続き見回り任務を頼む！			もし何かあれば、「帝国式発煙筒」を使うんだぞ。我々がすぐに駆けつけるからな。では、引き続き見回り任務を頼む！			魔導アーマーを奪取せよ！							
……何をやっているのか。教練所で嫌というほどやらされただろう。こういう場合は「帝国式敬礼」をするのだ。			……何をやっているのか。教練所で嫌というほどやらされただろう。こういう場合は「帝国式敬礼」をするのだ。			魔導アーマーを奪取せよ！							
もし何かあれば、「帝国式発煙筒」を使うんだぞ。我々がすぐに駆けつけるからな。では、引き続き見回り任務を頼む！			もし何かあれば、「帝国式発煙筒」を使うんだぞ。我々がすぐに駆けつけるからな。では、引き続き見回り任務を頼む！			魔導アーマーを奪取せよ！							
お前は……ああ、内通者か？冒険者が堂々と近寄ってくるもんだから、何事かと構えちまったぜ。			お前は……ああ、内通者か？冒険者が堂々と近寄ってくるもんだから、何事かと構えちまったぜ。			魔導アーマーを奪取せよ！							
……何の用だ。			……何の用だ。			魔導アーマーを奪取せよ！							
んん～！？　貴様、冒険者か？この制服が見えているなら、さっさと去れ！不穏分子として捕らえるぞ！？			んん～！？　貴様、冒険者か？この制服が見えているなら、さっさと去れ！不穏分子として捕らえるぞ！？			魔導アーマーを奪取せよ！							
…………はぁ……。			…………はぁ……。			魔導アーマーを奪取せよ！							
この先は、我ら「ガレマール帝国」の要塞……知らず立ち入ったでは済まされんぞ。			この先は、我ら「ガレマール帝国」の要塞……知らず立ち入ったでは済まされんぞ。			魔導アーマーを奪取せよ！							
（指定地点で「発煙筒」を使う）			（指定地点で「発煙筒」を使う）			魔導アーマーを奪取せよ！							
（Ｌｃｕｔ）			（Ｌｃｕｔ）			魔導アーマーを奪取せよ！							
よう、作戦は上手く進んでるようだな。魔導アーマーを奪取するなら、技術屋がいたほうがいいだろうと思ってな。			よう、作戦は上手く進んでるようだな。魔導アーマーを奪取するなら、技術屋がいたほうがいいだろうと思ってな。			魔導アーマーを奪取せよ！							
