朋友の灯火のエレンヴィルは、何やら注意を促したいようだ。			朋友の灯火のエレンヴィルは、何やら注意を促したいようだ。			捕集の民、モブリン族							
祭器を取り戻すことはできなかったものの、名前と容姿を把握できたから、格段に追いやすくなるはずよ。			祭器を取り戻すことはできなかったものの、名前と容姿を把握できたから、格段に追いやすくなるはずよ。			駆け出し冒険者の毒薬騒動							
これを手がかりに、また情報を探っておくから、どうかまた、力を貸してね。			これを手がかりに、また情報を探っておくから、どうかまた、力を貸してね。			駆け出し冒険者の毒薬騒動							
イェドリマンのテペケは、冒険者に困りごとの相談をしたいようだ。			イェドリマンのテペケは、冒険者に困りごとの相談をしたいようだ。			ジャスティス・Ｒの人気							
テペケによると、危険性の薄い魔物を倒しているジャスティス・Ｒに、憧れる子どもや若者が増えているらしい。ラザハンのエーテライト・プラザにいる「テペケ」と合流しよう。			テペケによると、危険性の薄い魔物を倒しているジャスティス・Ｒに、憧れる子どもや若者が増えているらしい。ラザハンのエーテライト・プラザにいる「テペケ」と合流しよう。			ジャスティス・Ｒの人気							
テペケは落石が本当に祭器によるものか調べるため、アルキミヤ製薬堂へ行くという。情報を得るため、ラザハンの星戦士団本営にいる「星戦士団の兵士」と話そう。			テペケは落石が本当に祭器によるものか調べるため、アルキミヤ製薬堂へ行くという。情報を得るため、ラザハンの星戦士団本営にいる「星戦士団の兵士」と話そう。			ジャスティス・Ｒの人気							
星戦士団でもジャスティス・Ｒの調査が必要だと考えているようだ。また、彼の周りで落石が多発していることも話題に上っているらしい。エーテライト・プラザにいる「テペケ」と合流しよう。			星戦士団でもジャスティス・Ｒの調査が必要だと考えているようだ。また、彼の周りで落石が多発していることも話題に上っているらしい。エーテライト・プラザにいる「テペケ」と合流しよう。			ジャスティス・Ｒの人気							
テペケが手に入れた錬金薬と、魔道士である冒険者の力を合わせて、落石に魔法的関与があるか調べることになった。サベネア島で薫香の丘にいる「テペケ」と話そう。			テペケが手に入れた錬金薬と、魔道士である冒険者の力を合わせて、落石に魔法的関与があるか調べることになった。サベネア島で薫香の丘にいる「テペケ」と話そう。			ジャスティス・Ｒの人気							
落石は、祭器の能力によるものだった。それを調べ終わったところに星戦士がやってきて、少女がイェドリマンを出ていったと言う。サベネア島のハンサ牧場跡から北に向かった海岸で「アウラ族の少女」を探そう。			落石は、祭器の能力によるものだった。それを調べ終わったところに星戦士がやってきて、少女がイェドリマンを出ていったと言う。サベネア島のハンサ牧場跡から北に向かった海岸で「アウラ族の少女」を探そう。			ジャスティス・Ｒの人気							
襲いかかってきた魔物を倒した。ハンサ牧場跡から北に向かった海岸で「アウラ族の少女」を救助しよう。			襲いかかってきた魔物を倒した。ハンサ牧場跡から北に向かった海岸で「アウラ族の少女」を救助しよう。			ジャスティス・Ｒの人気							
少女も、ジャスティス・Ｒの行動について改めて考えてみるそうだ。イェドリマンの「テペケ」と話そう。			少女も、ジャスティス・Ｒの行動について改めて考えてみるそうだ。イェドリマンの「テペケ」と話そう。			ジャスティス・Ｒの人気							
テペケはジャスティス・Ｒに祭器のことを喋ってしまい、それが奪われた原因だと打ち明けた。引き続き、ジャスティス・Ｒを調査するテペケに協力しよう！※いずれかの遠隔魔法DPSジョブのレベルが94以上になると、イェドリマンのテペケから次の遠隔魔法DPSロールクエストを受注することができます。			テペケはジャスティス・Ｒに祭器のことを喋ってしまい、それが奪われた原因だと打ち明けた。引き続き、ジャスティス・Ｒを調査するテペケに協力しよう！※いずれかの遠隔魔法DPSジョブのレベルが94以上になると、イェドリマンのテペケから次の遠隔魔法DPSロールクエストを受注することができます。			ジャスティス・Ｒの人気							
ラザハンのテペケと話す			ラザハンのテペケと話す			ジャスティス・Ｒの人気							
星戦士団の兵士と話す			星戦士団の兵士と話す			ジャスティス・Ｒの人気							
テペケと話す			テペケと話す			ジャスティス・Ｒの人気							
薫香の丘でテペケと話す			薫香の丘でテペケと話す			ジャスティス・Ｒの人気							
アウラ族の少女を探す			アウラ族の少女を探す			ジャスティス・Ｒの人気							
