自由弁論館の水晶公は、とっておきの提案があるようだ。			自由弁論館の水晶公は、とっておきの提案があるようだ。			クリスタリウムの意気							
あの野郎を探す上で手がかりになるものが、ひとつあるのさ。と言うのも、オレは過去にコルシア島の「ライト村」という場所で、ディカイオシュネーと遭遇したことがあってね。			あの野郎を探す上で手がかりになるものが、ひとつあるのさ。と言うのも、オレは過去にコルシア島の「ライト村」という場所で、ディカイオシュネーと遭遇したことがあってね。			あの忘れえぬ日々							
その後、ディカイオシュネーが、再びライト村に現れたかは定かじゃないが、まずは現地に行って、情報を集めるとしよう。			その後、ディカイオシュネーが、再びライト村に現れたかは定かじゃないが、まずは現地に行って、情報を集めるとしよう。			あの忘れえぬ日々							
それじゃ……行こうぜ、相棒！			それじゃ……行こうぜ、相棒！			あの忘れえぬ日々							
ここがライト村だ。どうだい、何もないわびしい村だろ？だが、オレにとって特別な場所でな……。			ここがライト村だ。どうだい、何もないわびしい村だろ？だが、オレにとって特別な場所でな……。			あの忘れえぬ日々							
いや、この話はまた後で話そう。まずは、ディカイオシュネーの足取りを掴むことが先決だ。			いや、この話はまた後で話そう。まずは、ディカイオシュネーの足取りを掴むことが先決だ。			あの忘れえぬ日々							
二手にわかれて、村人たちから情報を集めよう。何人かと話したら、ここに戻ってきてくれ。			二手にわかれて、村人たちから情報を集めよう。何人かと話したら、ここに戻ってきてくれ。			あの忘れえぬ日々							
なんじゃ、アンタ。ワシに何か聞きたいことでも？			なんじゃ、アンタ。ワシに何か聞きたいことでも？			あの忘れえぬ日々							
ディカイオシュネーという罪喰いの居場所を知らぬか、と？もしや、ガルジェントの騎士の姿をした罪喰いのことか？			ディカイオシュネーという罪喰いの居場所を知らぬか、と？もしや、ガルジェントの騎士の姿をした罪喰いのことか？			あの忘れえぬ日々							
すまぬが、その話はしたくない。ヤツはこの村から多くのものを奪っていきおった。ワシらは一刻も早く忘れたいのじゃ、忘れられるものならばな……。			すまぬが、その話はしたくない。ヤツはこの村から多くのものを奪っていきおった。ワシらは一刻も早く忘れたいのじゃ、忘れられるものならばな……。			あの忘れえぬ日々							
ひ、ひい！何なんですか、あなたは！			ひ、ひい！何なんですか、あなたは！			あの忘れえぬ日々							
過去にこの村に現れた罪喰いを探しているって……？ま、まさかそれは……！？			過去にこの村に現れた罪喰いを探しているって……？ま、まさかそれは……！？			あの忘れえぬ日々							
あ……あの悪魔の話はやめてください！やっと外を出歩けるぐらいまで心が落ち着いてきたんです！あの光景を思い出したら、ああ…………ああああ！！			あ……あの悪魔の話はやめてください！やっと外を出歩けるぐらいまで心が落ち着いてきたんです！あの光景を思い出したら、ああ…………ああああ！！			あの忘れえぬ日々							
二手にわかれて、村人たちから情報を集めよう。何人かと話したら、村の入口で合流しよう。			二手にわかれて、村人たちから情報を集めよう。何人かと話したら、村の入口で合流しよう。			あの忘れえぬ日々							
すまぬが、その話はしたくない。ヤツはこの村から多くのものを奪っていきおった。ワシらは一刻も早く忘れたいのじゃ、忘れられるものならばな……。			すまぬが、その話はしたくない。ヤツはこの村から多くのものを奪っていきおった。ワシらは一刻も早く忘れたいのじゃ、忘れられるものならばな……。			あの忘れえぬ日々							
あ……あの悪魔の話はやめてください！やっと外を出歩けるぐらいまで心が落ち着いてきた所なんです！あの光景を思い出したら、ああ…………ああああ！！			あ……あの悪魔の話はやめてください！やっと外を出歩けるぐらいまで心が落ち着いてきた所なんです！あの光景を思い出したら、ああ…………ああああ！！			あの忘れえぬ日々							
