双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			偽りの角							
ティマイオスは止め処なく言い訳し続けた……。			ティマイオスは止め処なく言い訳し続けた……。			未だ訪れぬ過去							
うん、そうだ！　ならば仕方がない！ということで聞いてあげようではないか、メーティオンの秘密を！			うん、そうだ！　ならば仕方がない！ということで聞いてあげようではないか、メーティオンの秘密を！			未だ訪れぬ過去							
デュナミス……エンテレケイア……？			デュナミス……エンテレケイア……？			未だ訪れぬ過去							
うーん、どこかで聞いた気もする言葉だな……エルピスで創られた花に、そんな特性があるんじゃなかったか……？			うーん、どこかで聞いた気もする言葉だな……エルピスで創られた花に、そんな特性があるんじゃなかったか……？			未だ訪れぬ過去							
だとしたら、聞いたの自体が数百年ぶりだ。普段の仕事では、まず聞かない言葉だよ。……それがメーティオンに関係してるのかい？			だとしたら、聞いたの自体が数百年ぶりだ。普段の仕事では、まず聞かない言葉だよ。……それがメーティオンに関係してるのかい？			未だ訪れぬ過去							
なんだ、冷やかしか……。僕と話したかったのかもしれないが、雑談なら仕事が終わってからで頼むよ。			なんだ、冷やかしか……。僕と話したかったのかもしれないが、雑談なら仕事が終わってからで頼むよ。			未だ訪れぬ過去							
それじゃあ、僕は観察に戻る。君も、おしゃべりばかりしていないで、役目を果たすんだぞ。			それじゃあ、僕は観察に戻る。君も、おしゃべりばかりしていないで、役目を果たすんだぞ。			未だ訪れぬ過去							
こらこら、僕と話したいなら、仕事が終わってからだと言っただろう？待ちきれないのかもしれないが、出直しておいで。			こらこら、僕と話したいなら、仕事が終わってからだと言っただろう？待ちきれないのかもしれないが、出直しておいで。			未だ訪れぬ過去							
あら、川辺まで探しに行ったのに、ずいぶん早いこと！さすが熟練の旅人、よほど順調に話が聞けたのですね。			あら、川辺まで探しに行ったのに、ずいぶん早いこと！さすが熟練の旅人、よほど順調に話が聞けたのですね。			未だ訪れぬ過去							
ああ、ちょうどいいタイミングですね。こちらも、ざっと話を聞き終えたところです。			ああ、ちょうどいいタイミングですね。こちらも、ざっと話を聞き終えたところです。			未だ訪れぬ過去							
