忘れられた騎士亭のエティエーヌは、冒険者に興味があるようだ。			忘れられた騎士亭のエティエーヌは、冒険者に興味があるようだ。			イシュガルドのモブハント（初級）							
グナース族が武神と崇める、蛮神「ラーヴァナ」が現れた。イゼルは、自分たちが勝ったならドラゴン族への攻撃をやめる約束を取りつけると、シヴァを呼び降ろして蛮神「ラーヴァナ」に挑んだ。しかし、シヴァは敗北してしまった。次は冒険者が戦う番だ。蛮神「ラーヴァナ」を討滅しよう。※コンテンツファインダーから攻略に参加できます。			グナース族が武神と崇める、蛮神「ラーヴァナ」が現れた。イゼルは、自分たちが勝ったならドラゴン族への攻撃をやめる約束を取りつけると、シヴァを呼び降ろして蛮神「ラーヴァナ」に挑んだ。しかし、シヴァは敗北してしまった。次は冒険者が戦う番だ。蛮神「ラーヴァナ」を討滅しよう。※コンテンツファインダーから攻略に参加できます。			武神降臨							
蛮神「ラーヴァナ」の討滅に成功した。供物穴を出て、高地ドラヴァニアに戻ろう。			蛮神「ラーヴァナ」の討滅に成功した。供物穴を出て、高地ドラヴァニアに戻ろう。			武神降臨							
高地ドラヴァニアに戻った。高地ドラヴァニアのグナースの塚付近にいる「イゼル」と話そう。			高地ドラヴァニアに戻った。高地ドラヴァニアのグナースの塚付近にいる「イゼル」と話そう。			武神降臨							
イゼルと話した。高地ドラヴァニアのヴァスの塚にいる「アルフィノ」と話そう。			イゼルと話した。高地ドラヴァニアのヴァスの塚にいる「アルフィノ」と話そう。			武神降臨							
アルフィノ、エスティニアンと合流した。ヴィゾーヴニルに、蛮神「ラーヴァナ」の討滅成功を報告することができそうだ。			アルフィノ、エスティニアンと合流した。ヴィゾーヴニルに、蛮神「ラーヴァナ」の討滅成功を報告することができそうだ。			武神降臨							
グナース族に連行される			グナース族に連行される			武神降臨							
供物穴の奥の部屋に向かう			供物穴の奥の部屋に向かう			武神降臨							
蛮神「ラーヴァナ」を討伐			蛮神「ラーヴァナ」を討伐			武神降臨							
イゼルと話す			イゼルと話す			武神降臨							
アルフィノと話す			アルフィノと話す			武神降臨							
ふふふ、いい目つきをする……。よし、準備はいいな？			ふふふ、いい目つきをする……。よし、準備はいいな？			武神降臨							
そろそろ頃合いか……。次に囲まれたら、投降するぞ。			そろそろ頃合いか……。次に囲まれたら、投降するぞ。			武神降臨							
(-グナース族たち-)グナースの地を侵す者たちめ！降伏せよ、降伏せよ！			(-グナース族たち-)グナースの地を侵す者たちめ！降伏せよ、降伏せよ！			武神降臨							
くそ、ここまでか！　グナース族の兵たちよ、我らは投降しよう！お前たちの神の前に、引きずり出すがいい。その神判を仰ぐ覚悟はできてる！			くそ、ここまでか！　グナース族の兵たちよ、我らは投降しよう！お前たちの神の前に、引きずり出すがいい。その神判を仰ぐ覚悟はできてる！			武神降臨							
あとは、グナース族の神の前に、引き出させるのを待つばかり。神降ろしをするとなれば、奴らも準備を整えているはず……。であれば、私にも勝機はあるさ。			あとは、グナース族の神の前に、引き出させるのを待つばかり。神降ろしをするとなれば、奴らも準備を整えているはず……。であれば、私にも勝機はあるさ。			武神降臨							
……後ろの谷底に川が流れていたな。反響する川の音に紛れれば、外にでることができるかもしれん。			……後ろの谷底に川が流れていたな。反響する川の音に紛れれば、外にでることができるかもしれん。			武神降臨							
