シェシェネ青燐泉のエレンヴィルは、冒険者を待っているようだ。			シェシェネ青燐泉のエレンヴィルは、冒険者を待っているようだ。			自然に導かれし人々							
「燦々と輝くダンデライオン」は十分集まった。次は低地ドラヴァニアへ向かい、「熟成されたモルボルの唾液」を手に入れよう。			「燦々と輝くダンデライオン」は十分集まった。次は低地ドラヴァニアへ向かい、「熟成されたモルボルの唾液」を手に入れよう。			夢に見た光景							
おお、秘薬の素材が集まったのですね？ならば、ローデニケ殿にお渡しください。			おお、秘薬の素材が集まったのですね？ならば、ローデニケ殿にお渡しください。			夢に見た光景							
こっちの準備は完了！「燦々と輝くダンデライオン」と、「熟成されたモルボルの唾液」は集まった？			こっちの準備は完了！「燦々と輝くダンデライオン」と、「熟成されたモルボルの唾液」は集まった？			夢に見た光景							
ありがとう、これで必要な素材が揃ったね。それじゃ、さっそく春陽の雫を作って飲ませよう！			ありがとう、これで必要な素材が揃ったね。それじゃ、さっそく春陽の雫を作って飲ませよう！			夢に見た光景							
これでよし……。あとは目覚めるのを待つだけ！			これでよし……。あとは目覚めるのを待つだけ！			夢に見た光景							
あれ、ここは……？			あれ、ここは……？			夢に見た光景							
この、ねぼすけ！			この、ねぼすけ！			夢に見た光景							
……やっと起きた。			……やっと起きた。			夢に見た光景							
ローデニケ！？オマエ、どうして……			ローデニケ！？オマエ、どうして……			夢に見た光景							
そっか……オレ、祭器で眠らされちゃって。その間にローデニケがこっちに来たんだな。			そっか……オレ、祭器で眠らされちゃって。その間にローデニケがこっちに来たんだな。			夢に見た光景							
クソッ、せっかくレオフィーヌを見つけたのに。肝心なときに役に立たなくて、何が「眠らずの勇士」だよ！			クソッ、せっかくレオフィーヌを見つけたのに。肝心なときに役に立たなくて、何が「眠らずの勇士」だよ！			夢に見た光景							
テントーワが気にすることじゃないよ。祭器を盗まれちゃったのも、元はと言えば、ワタシのせいだから……。			テントーワが気にすることじゃないよ。祭器を盗まれちゃったのも、元はと言えば、ワタシのせいだから……。			夢に見た光景							
違う、アレはオマエのせいなんかじゃ……！			違う、アレはオマエのせいなんかじゃ……！			夢に見た光景							
レオフィーヌは、トラル大陸を旅する学者と名乗り、うちの祭器を見たいと言って里にやってきたの。それで、里のオキテをいろいろ教えちゃったんだけど……。			レオフィーヌは、トラル大陸を旅する学者と名乗り、うちの祭器を見たいと言って里にやってきたの。それで、里のオキテをいろいろ教えちゃったんだけど……。			夢に見た光景							
祭器は「眠らずの勇士」が常に持ってると知ると、彼女は「眠り子」を利用することを思いついた。……つまり、ワタシを人質にした。			祭器は「眠らずの勇士」が常に持ってると知ると、彼女は「眠り子」を利用することを思いついた。……つまり、ワタシを人質にした。			夢に見た光景							
