トライヨラのボロガーは、冒険者に紹介したい人がいるようだ。			トライヨラのボロガーは、冒険者に紹介したい人がいるようだ。			トラル大陸のモブハント（中級）							
アルフィノが言ってたように、この森は鬱蒼としていて道に迷いやすい。まずは、発着場を出て南へ道なりに進むぞ。			アルフィノが言ってたように、この森は鬱蒼としていて道に迷いやすい。まずは、発着場を出て南へ道なりに進むぞ。			ヤクテル樹海に翔べ！							
ほら、落ちてねぇだろ？……まぁ、途中よそ見をしながら歩いてたら、クルルとアリゼーに引っ張られたけどよ。			ほら、落ちてねぇだろ？……まぁ、途中よそ見をしながら歩いてたら、クルルとアリゼーに引っ張られたけどよ。			ヤクテル樹海に翔べ！							
たしかに緑豊かな森だけれど……どの辺りが「青の森」なのかしら？			たしかに緑豊かな森だけれど……どの辺りが「青の森」なのかしら？			ヤクテル樹海に翔べ！							
向こうに見えるのが、もしや……？			向こうに見えるのが、もしや……？			ヤクテル樹海に翔べ！							
コザマル・カより見通しが悪そうだから、はぐれないように注意しましょ。			コザマル・カより見通しが悪そうだから、はぐれないように注意しましょ。			ヤクテル樹海に翔べ！							
ちゃんと全員そろってるな。			ちゃんと全員そろってるな。			ヤクテル樹海に翔べ！							
この道を西に進めば、シュバラール族の集落、「イクブラーシャ」だ。さあ行くぞ。			この道を西に進めば、シュバラール族の集落、「イクブラーシャ」だ。さあ行くぞ。			ヤクテル樹海に翔べ！							
へんっ！これでも、トライヨラじゃ何度も海に落ちて溺れかけてんだ。そう簡単に落ちるかっての！			へんっ！これでも、トライヨラじゃ何度も海に落ちて溺れかけてんだ。そう簡単に落ちるかっての！			ヤクテル樹海に翔べ！							
セノーテの底は、いったいどうなってるのかしら？			セノーテの底は、いったいどうなってるのかしら？			ヤクテル樹海に翔べ！							
ヤクテル樹海が「青の森」と呼ばれる所以は……ま、そのうちわかるだろ。			ヤクテル樹海が「青の森」と呼ばれる所以は……ま、そのうちわかるだろ。			ヤクテル樹海に翔べ！							
言っとくけど、押したら怒るからね。			言っとくけど、押したら怒るからね。			ヤクテル樹海に翔べ！							
ここに来る途中でも見かけたが……エレンヴィルの言うとおり、セノーテはかなりの深さだね。万が一落ちたら、這い上がるのに苦労しそうだ。			ここに来る途中でも見かけたが……エレンヴィルの言うとおり、セノーテはかなりの深さだね。万が一落ちたら、這い上がるのに苦労しそうだ。			ヤクテル樹海に翔べ！							
ご理解いただけて何よりだが、今は試練を受けるのが最優先だろう？気が済んだら行くぞ。			ご理解いただけて何よりだが、今は試練を受けるのが最優先だろう？気が済んだら行くぞ。			ヤクテル樹海に翔べ！							
聖バルロアイアン広場のテントーワは、なにやら悩んでいるようだ。			聖バルロアイアン広場のテントーワは、なにやら悩んでいるようだ。			死と眠りの境界							
テントーワと話した。レオフィーヌは神殿騎士団を狙っている可能性がある。クルザス西部高地のファルコンネストにいる「レッドワルド」と話そう。			テントーワと話した。レオフィーヌは神殿騎士団を狙っている可能性がある。クルザス西部高地のファルコンネストにいる「レッドワルド」と話そう。			死と眠りの境界							
レッドワルドと話した。クルザス西部高地のゴルガニュ牧場付近にいる「テントーワ」と話そう。			レッドワルドと話した。クルザス西部高地のゴルガニュ牧場付近にいる「テントーワ」と話そう。			死と眠りの境界							
テントーワと話した。見張りの神殿騎士が眠らされているのを発見した。ゴルガニュ牧場の建物の中に入り、自由の戦士を討伐しよう。			テントーワと話した。見張りの神殿騎士が眠らされているのを発見した。ゴルガニュ牧場の建物の中に入り、自由の戦士を討伐しよう。			死と眠りの境界							
自由の戦士を討伐した。ゴルガニュ牧場にいる「デュランデル家の哨兵」を救助しよう。			自由の戦士を討伐した。ゴルガニュ牧場にいる「デュランデル家の哨兵」を救助しよう。			死と眠りの境界							
