ベントブランチ牧場のルクロは、消えたチョコボの卵探しを依頼したいようだ。			ベントブランチ牧場のルクロは、消えたチョコボの卵探しを依頼したいようだ。			守るべきぬくもり							
マザークリスタル……ハイデリンが、貴様にそれを持たせた意味……それが解るまではな。			マザークリスタル……ハイデリンが、貴様にそれを持たせた意味……それが解るまではな。			王宮の晩餐会							
貴様は一介の冒険者で終わらず、いずれは、世界をも左右する存在になるかもしれぬ。			貴様は一介の冒険者で終わらず、いずれは、世界をも左右する存在になるかもしれぬ。			王宮の晩餐会							
なぜなら……。貴様は「超える力」を持っているのだから。			なぜなら……。貴様は「超える力」を持っているのだから。			王宮の晩餐会							
あら、Forename。気が付いた？			あら、Forename。気が付いた？			王宮の晩餐会							
何があったか覚えていないの？あなたは、晩餐会の最中に倒れたの。慌てて、わたしが宿まで運んだのよ？			何があったか覚えていないの？あなたは、晩餐会の最中に倒れたの。慌てて、わたしが宿まで運んだのよ？			王宮の晩餐会							
ナナモ女王が主催した晩餐会で気絶するなんて、冒険者の礼儀には驚かされるわ。			ナナモ女王が主催した晩餐会で気絶するなんて、冒険者の礼儀には驚かされるわ。			王宮の晩餐会							
いろいろ大変だったみたいだから、疲れていたのかもしれないけどね。			いろいろ大変だったみたいだから、疲れていたのかもしれないけどね。			王宮の晩餐会							
うん、もう大丈夫のようね。わたしも店に戻るわ。			うん、もう大丈夫のようね。わたしも店に戻るわ。			王宮の晩餐会							
……そうそう。ラウバーン局長が、あなたに伝えたいことがあるそうよ。			……そうそう。ラウバーン局長が、あなたに伝えたいことがあるそうよ。			王宮の晩餐会							
今は「不滅隊」の作戦本部にいらっしゃるはず。局長も、あなたのことを心配していたわ。挨拶にいってらっしゃいな。			今は「不滅隊」の作戦本部にいらっしゃるはず。局長も、あなたのことを心配していたわ。挨拶にいってらっしゃいな。			王宮の晩餐会							
貴様か、待っていたぞ。具合はもういいようだな。			貴様か、待っていたぞ。具合はもういいようだな。			王宮の晩餐会							
実は……。冒険者の貴様に、頼みがある。この仕事を託せるのは、貴様しかいないのだ……。			実は……。冒険者の貴様に、頼みがある。この仕事を託せるのは、貴様しかいないのだ……。			王宮の晩餐会							
ええええ！「招待者の証」をなくしちゃったですって！？んもう、しっかりしてくださいよっ！			ええええ！「招待者の証」をなくしちゃったですって！？んもう、しっかりしてくださいよっ！			王宮の晩餐会							
あれ作るの、結構大変だったんですよっ？もう、これっきりにしてくださいね。次なくしたら、怒っちゃいますからねっ！			あれ作るの、結構大変だったんですよっ？もう、これっきりにしてくださいね。次なくしたら、怒っちゃいますからねっ！			王宮の晩餐会							
ロイヤル・プロムナードのバーソロミューが、腕の立つ冒険者を探しているようだ。			ロイヤル・プロムナードのバーソロミューが、腕の立つ冒険者を探しているようだ。			海都で待つ仕事							
リムサ・ロミンサのバデロンが、腕の立つ冒険者を探しているらしい。リムサ・ロミンサの溺れた海豚亭にいる「バデロン」に話しかけよう。			リムサ・ロミンサのバデロンが、腕の立つ冒険者を探しているらしい。リムサ・ロミンサの溺れた海豚亭にいる「バデロン」に話しかけよう。			海都で待つ仕事							
バデロンと話をすることができた。どうやら、彼の依頼はやっかいなものらしい。依頼に臨む準備を整えたら、バデロンからくわしい話を聞いてみよう。			バデロンと話をすることができた。どうやら、彼の依頼はやっかいなものらしい。依頼に臨む準備を整えたら、バデロンからくわしい話を聞いてみよう。			海都で待つ仕事							
リムサ・ロミンサの溺れた海豚亭にいるバデロンと話す			リムサ・ロミンサの溺れた海豚亭にいるバデロンと話す			海都で待つ仕事							
ラウバーン局長との面会、お疲れさまでした。見事に大役を果たされた、その腕を見こんで、ひとつ、お頼みしたいことがあるのです。			ラウバーン局長との面会、お疲れさまでした。見事に大役を果たされた、その腕を見こんで、ひとつ、お頼みしたいことがあるのです。			海都で待つ仕事							
以前、局長に従い、リムサ・ロミンサを表敬訪問したとき「バデロン」という人物の世話になりました。彼が腕の立つ冒険者を探しているらしいのです。			以前、局長に従い、リムサ・ロミンサを表敬訪問したとき「バデロン」という人物の世話になりました。彼が腕の立つ冒険者を探しているらしいのです。			海都で待つ仕事							
