トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トラル大陸のモブハント（上級）							
その生命力のエーテルは当初、エバーキープ内で亡くなった人から賄っていたらしいけど、永久人は増える一方だから、当然、不足していく。			その生命力のエーテルは当初、エバーキープ内で亡くなった人から賄っていたらしいけど、永久人は増える一方だから、当然、不足していく。			永久に生きる者たち							
だから、よそから調達しようとするのさ。今、この瞬間にあたしの身体を構成しているエーテルだって、トライヨラ襲撃時の犠牲者のものかもしれないんだ。			だから、よそから調達しようとするのさ。今、この瞬間にあたしの身体を構成しているエーテルだって、トライヨラ襲撃時の犠牲者のものかもしれないんだ。			永久に生きる者たち							
そんなの嫌なんだよ……。あたしは、誰かの命を奪ってまで存在していたくない。			そんなの嫌なんだよ……。あたしは、誰かの命を奪ってまで存在していたくない。			永久に生きる者たち							
アタシだって同じ立場なら、そう思うかもしれねぇ。でも、どうすれば……。			アタシだって同じ立場なら、そう思うかもしれねぇ。でも、どうすれば……。			永久に生きる者たち							
各エリアには「ターミナル」と呼ばれる巨大な装置があって、あたしたち永久人の記憶は、そこに保存されてるんだ。			各エリアには「ターミナル」と呼ばれる巨大な装置があって、あたしたち永久人の記憶は、そこに保存されてるんだ。			永久に生きる者たち							
そのターミナルを、稼働終了……シャットダウンさせる。そしたら、保存されていた記憶ごと、永久人は消滅するだろう。			そのターミナルを、稼働終了……シャットダウンさせる。そしたら、保存されていた記憶ごと、永久人は消滅するだろう。			永久に生きる者たち							
だが、今すぐそうする必要はあるのか？スフェーンの侵攻を止めることさえできれば、なにも急いで消滅させなくても……！			だが、今すぐそうする必要はあるのか？スフェーンの侵攻を止めることさえできれば、なにも急いで消滅させなくても……！			永久に生きる者たち							
今だから、だよ。			今だから、だよ。			永久に生きる者たち							
スフェーン様の人格を形成している「生前の記憶」は、ここリビング・メモリーの中心にある、メインターミナルに保存されている。			スフェーン様の人格を形成している「生前の記憶」は、ここリビング・メモリーの中心にある、メインターミナルに保存されている。			永久に生きる者たち							
あれは防備が堅いんだけど……計算が終わった瞬間に生じるはずの隙を狙えば、ハッキングで内部から突き崩せる可能性が高い。			あれは防備が堅いんだけど……計算が終わった瞬間に生じるはずの隙を狙えば、ハッキングで内部から突き崩せる可能性が高い。			永久に生きる者たち							
