ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			大精霊が宿る木							
お次は、アラミゴの解放デスネ。そちらに関しても、ロロリトは大変な興味を示しておりマス。			お次は、アラミゴの解放デスネ。そちらに関しても、ロロリトは大変な興味を示しておりマス。			別れと帰還							
ああいえ、応援という意味でデスヨ？帝国属州に関しては、属州のままにしておいても、百害あって一利なしデ～ス。			ああいえ、応援という意味でデスヨ？帝国属州に関しては、属州のままにしておいても、百害あって一利なしデ～ス。			別れと帰還							
戻ってきたんだね、アタシたち。神々に愛されし地エオルゼア……アタシたちの、次に戦うべき場所に！			戻ってきたんだね、アタシたち。神々に愛されし地エオルゼア……アタシたちの、次に戦うべき場所に！			別れと帰還							
もう、負けに打ちひしがれながら、ここを出発したときのアタシたちじゃない。たくさんの経験や絆が、アタシを強くしてくれた。			もう、負けに打ちひしがれながら、ここを出発したときのアタシたちじゃない。たくさんの経験や絆が、アタシを強くしてくれた。			別れと帰還							
さあ……やっちゃるよ！ゼノスたちを倒して、今度はアラミゴを、あの笑顔でいっぱいにするんだから！			さあ……やっちゃるよ！ゼノスたちを倒して、今度はアラミゴを、あの笑顔でいっぱいにするんだから！			別れと帰還							
ドマ城下町のアルフィノは、茫然としている。			ドマ城下町のアルフィノは、茫然としている。			ドマという国							
アルフィノの提案を受け、ゴウセツの捜索をしたが、見つけることはできなかった。ヒエンの決意を受けとめて、民に勝利の報せを届けにいくことにした。ヤンサの城下船場にいる「タンスイ」と話そう。			アルフィノの提案を受け、ゴウセツの捜索をしたが、見つけることはできなかった。ヒエンの決意を受けとめて、民に勝利の報せを届けにいくことにした。ヤンサの城下船場にいる「タンスイ」と話そう。			ドマという国							
タンスイと話した。船の準備はできているようだ。ドマ町人地へと送ってもらおう。			タンスイと話した。船の準備はできているようだ。ドマ町人地へと送ってもらおう。			ドマという国							
ドマ町人地へとやってきた。ヒエンは民に、再びドマという国を造りたいと告げ、ここにドマ解放と相成った。ヤンサのユヅカ代官屋敷付近にいる「アルフィノ」と話そう。			ドマ町人地へとやってきた。ヒエンは民に、再びドマという国を造りたいと告げ、ここにドマ解放と相成った。ヤンサのユヅカ代官屋敷付近にいる「アルフィノ」と話そう。			ドマという国							
アルフィノたちと決意を固めていたところ、ラショウたちがやってきて、クガネまで送ってくれることになった。出発の準備を整え、ユヅカ代官屋敷付近にいる「ラショウ」と話そう。			アルフィノたちと決意を固めていたところ、ラショウたちがやってきて、クガネまで送ってくれることになった。出発の準備を整え、ユヅカ代官屋敷付近にいる「ラショウ」と話そう。			ドマという国							
ラショウに頼み、クガネまで送ってもらった。小波止場にいる「ラショウ」と話そう。			ラショウに頼み、クガネまで送ってもらった。小波止場にいる「ラショウ」と話そう。			ドマという国							
