テイルフェザーのエルヴォワは、とても面倒そうな案件を抱えているようだ。			テイルフェザーのエルヴォワは、とても面倒そうな案件を抱えているようだ。			口より手を							
「アバラシア雲海」の高空層へ向かいますか？			「アバラシア雲海」の高空層へ向かいますか？			いざ高空層へ							
はい			はい			いざ高空層へ							
いいえ			いいえ			いざ高空層へ							
あ、あなたの冒険のお手伝いを任された新人です！よっ、よろしくおねがいします……！……ジェシーさんに怒られないように、がんばらないと。			あ、あなたの冒険のお手伝いを任された新人です！よっ、よろしくおねがいします……！……ジェシーさんに怒られないように、がんばらないと。			いざ高空層へ							
ここが「アバラシア雲海」の高空層……。「キャンプ・クラウドトップ」よりも高い位置にあるのだな……。			ここが「アバラシア雲海」の高空層……。「キャンプ・クラウドトップ」よりも高い位置にあるのだな……。			いざ高空層へ							
ルキア殿の言葉によれば、この周辺の浮島は、バヌバヌ族の勢力がより強いという。彼らを無闇に刺激しないように、注意しなければね。			ルキア殿の言葉によれば、この周辺の浮島は、バヌバヌ族の勢力がより強いという。彼らを無闇に刺激しないように、注意しなければね。			いざ高空層へ							
イシュガルドに戻りたいときは、そこの社旗の側に立って連絡してくれ。回収して送り届けてやるからよ。			イシュガルドに戻りたいときは、そこの社旗の側に立って連絡してくれ。回収して送り届けてやるからよ。			いざ高空層へ							
それから、アバラシア雲海の高空層への移動は、「イシュガルド・ランディング」にいる、うちの社員に声をかければ、社用艇を出させるからな。			それから、アバラシア雲海の高空層への移動は、「イシュガルド・ランディング」にいる、うちの社員に声をかければ、社用艇を出させるからな。			いざ高空層へ							
オク・ズンドのアルフィノは、シドの作戦を実現させようとしている。			オク・ズンドのアルフィノは、シドの作戦を実現させようとしている。			魔大陸の鍵							
シドの作戦を実現させるには、エサとなる浮島が必要だ。オク・ズンドの「ソヌバヌ」に相談しよう。			シドの作戦を実現させるには、エサとなる浮島が必要だ。オク・ズンドの「ソヌバヌ」に相談しよう。			魔大陸の鍵							
ソヌバヌに話を持ちかけると、ズンドの浮島を貸してくれた。アバラシア雲海のブルーウィンドウにいる「シド」に、浮島が用意できたことを知らせよう。			ソヌバヌに話を持ちかけると、ズンドの浮島を貸してくれた。アバラシア雲海のブルーウィンドウにいる「シド」に、浮島が用意できたことを知らせよう。			魔大陸の鍵							
浮島のことを知らせに行くと、シドたちの準備はほぼ完了していた。冒険者も準備を整えて、ブルーウィンドウの「ウェッジ」と話そう。			浮島のことを知らせに行くと、シドたちの準備はほぼ完了していた。冒険者も準備を整えて、ブルーウィンドウの「ウェッジ」と話そう。			魔大陸の鍵							
ウェッジと話した。浮島を餌におびき寄せた、蛮神「ビスマルク」を討伐しよう。※コンテンツファインダーから攻略に参加できます。			ウェッジと話した。浮島を餌におびき寄せた、蛮神「ビスマルク」を討伐しよう。※コンテンツファインダーから攻略に参加できます。			魔大陸の鍵							
蛮神「ビスマルク」を討伐した。アバラシア雲海に戻ろう。			蛮神「ビスマルク」を討伐した。アバラシア雲海に戻ろう。			魔大陸の鍵							
