ウォーラーの残響のエレンヴィルは、仲間たちに提案したいことがあるようだ。			ウォーラーの残響のエレンヴィルは、仲間たちに提案したいことがあるようだ。			ウクラマトの平和							
ウクラマトと話す			ウクラマトと話す			記憶の民、ヨカフイ族							
万ヶ踏跡のエレンヴィルと話す			万ヶ踏跡のエレンヴィルと話す			記憶の民、ヨカフイ族							
ウクラマトと話す			ウクラマトと話す			記憶の民、ヨカフイ族							
ウクラマトと再度話す			ウクラマトと再度話す			記憶の民、ヨカフイ族							
ウクラマトとさらに話す			ウクラマトとさらに話す			記憶の民、ヨカフイ族							
コーナ王子、冷静沈着で合理的な人かと思っていたけれど……ウクラマトさんのことになると感情的になってしまうようね。根は妹想いのお兄さんってことかしら。			コーナ王子、冷静沈着で合理的な人かと思っていたけれど……ウクラマトさんのことになると感情的になってしまうようね。根は妹想いのお兄さんってことかしら。			記憶の民、ヨカフイ族							
前までのウクラマトなら、秘石を奪われるなんて失態、死ぬほど落ち込んでいただろうに。			前までのウクラマトなら、秘石を奪われるなんて失態、死ぬほど落ち込んでいただろうに。			記憶の民、ヨカフイ族							
おたくらとの旅で、少しずつ変わってきてるらしい。			おたくらとの旅で、少しずつ変わってきてるらしい。			記憶の民、ヨカフイ族							
黄金郷を見つけるためには、残りの秘石を集めつつ、バクージャジャに奪われた「壺の秘石」を取り返す必要がある。しかし、相手が相手なだけに、簡単にはいかないだろう。			黄金郷を見つけるためには、残りの秘石を集めつつ、バクージャジャに奪われた「壺の秘石」を取り返す必要がある。しかし、相手が相手なだけに、簡単にはいかないだろう。			記憶の民、ヨカフイ族							
それにしても双頭って不思議よね。兄の方は、だいぶ頭に血が上っていたのに、弟の方の一言で、すぐに冷静さを取り戻して……。			それにしても双頭って不思議よね。兄の方は、だいぶ頭に血が上っていたのに、弟の方の一言で、すぐに冷静さを取り戻して……。			記憶の民、ヨカフイ族							
それぞれの頭に別の人格があるって聞いていたけど、はじめて実感できたわ。			それぞれの頭に別の人格があるって聞いていたけど、はじめて実感できたわ。			記憶の民、ヨカフイ族							
んじゃ、あらためて……オルコ・パチャの高地にある、ヨカフイ族の集落へと出発だ！			んじゃ、あらためて……オルコ・パチャの高地にある、ヨカフイ族の集落へと出発だ！			記憶の民、ヨカフイ族							
オルコ・パチャに続く山道の入口は、ウクラマトが派手髪の盗賊、ワーケサに騙された辺りにある。もう一度あそこへ向かうぞ。			オルコ・パチャに続く山道の入口は、ウクラマトが派手髪の盗賊、ワーケサに騙された辺りにある。もう一度あそこへ向かうぞ。			記憶の民、ヨカフイ族							
あんにゃろぉ……堂々とアタシの失態をいじりやがって。			あんにゃろぉ……堂々とアタシの失態をいじりやがって。			記憶の民、ヨカフイ族							
ま、それくらいの方が、アタシもいちいち落ち込んでられねぇって気がするけどよ。これもあいつなりの気遣いなのか……？			ま、それくらいの方が、アタシもいちいち落ち込んでられねぇって気がするけどよ。これもあいつなりの気遣いなのか……？			記憶の民、ヨカフイ族							
とにかく挽回するためにも、モタモタしてられねぇ。アタシらも行こうぜ。目指すはアースンシャイアの西にある山道の入口だ！			とにかく挽回するためにも、モタモタしてられねぇ。アタシらも行こうぜ。目指すはアースンシャイアの西にある山道の入口だ！			記憶の民、ヨカフイ族							
この先がオルコ・パチャの高地へと続いているのね。			この先がオルコ・パチャの高地へと続いているのね。			記憶の民、ヨカフイ族							
バクージャジャに足止めされていた間にも、ゾラージャ王子は先に進んでいることだろう。私たちも急がなければ。			バクージャジャに足止めされていた間にも、ゾラージャ王子は先に進んでいることだろう。私たちも急がなければ。			記憶の民、ヨカフイ族							
