エバーキープ前のウクラマトは、冒険者たちに頼みがあるようだ。			エバーキープ前のウクラマトは、冒険者たちに頼みがあるようだ。			護る者、壊す者							
ラザハンに現れた目的……王になるという宣言も果たした。ここもまた、英雄殿との戦いに相応しい舞台とは言えぬ。決着は、次の機会とさせてもらおう。			ラザハンに現れた目的……王になるという宣言も果たした。ここもまた、英雄殿との戦いに相応しい舞台とは言えぬ。決着は、次の機会とさせてもらおう。			人気の裏に隠された素顔							
何と言う？			何と言う？			人気の裏に隠された素顔							
これ以上、街中で能力を使われてもまずい			これ以上、街中で能力を使われてもまずい			人気の裏に隠された素顔							
この場を落ち着かせることを優先しよう			この場を落ち着かせることを優先しよう			人気の裏に隠された素顔							
……わかりました。悔しいですけど、こちらの調査も終わっていませんし、今、手出しするのは避けましょう。			……わかりました。悔しいですけど、こちらの調査も終わっていませんし、今、手出しするのは避けましょう。			人気の裏に隠された素顔							
ですが、彼もずいぶんとあっさり退きましたね。もしかして……。			ですが、彼もずいぶんとあっさり退きましたね。もしかして……。			人気の裏に隠された素顔							
……ちょっと、気になることがあります。ヴィラザーンのお父さんに話を聞いてみませんか？			……ちょっと、気になることがあります。ヴィラザーンのお父さんに話を聞いてみませんか？			人気の裏に隠された素顔							
おふたりとも、ご無沙汰しておりました。この暴挙で、息子もすっかり悪人ですよ……。			おふたりとも、ご無沙汰しておりました。この暴挙で、息子もすっかり悪人ですよ……。			人気の裏に隠された素顔							
我が息子ながら、情けない。見栄えだけの装備と、中身のない大言壮語。それのどこがヒーローなのだか……。			我が息子ながら、情けない。見栄えだけの装備と、中身のない大言壮語。それのどこがヒーローなのだか……。			人気の裏に隠された素顔							
いや、ここで愚痴っていても仕方ありませんな。此度の暴挙で、星戦士団も捕縛に本腰をいれるでしょう。私も本営に向かい、改めて息子の説明を……			いや、ここで愚痴っていても仕方ありませんな。此度の暴挙で、星戦士団も捕縛に本腰をいれるでしょう。私も本営に向かい、改めて息子の説明を……			人気の裏に隠された素顔							
その前に、ひとつよろしいでしょうか。岩を降らせたあとの、ヴィラザーンの表情……お父さんからは、どのように見えました？			その前に、ひとつよろしいでしょうか。岩を降らせたあとの、ヴィラザーンの表情……お父さんからは、どのように見えました？			人気の裏に隠された素顔							
