オールド・シャーレアンのノルトータは、哲学者議会の発表内容に驚いているようだ。			オールド・シャーレアンのノルトータは、哲学者議会の発表内容に驚いているようだ。			ギルドシップのモブハント（上級）							
なのに、あいつだけ何か別の任務をもらって、今朝、船で出ていったんだ！			なのに、あいつだけ何か別の任務をもらって、今朝、船で出ていったんだ！			流星と陽の軌跡							
その分もオレが荷物を運ばなきゃならないし、オノロワがいないから誰も飯を用意しちゃくれないし、もう、オレ様ってばくったくた……。			その分もオレが荷物を運ばなきゃならないし、オノロワがいないから誰も飯を用意しちゃくれないし、もう、オレ様ってばくったくた……。			流星と陽の軌跡							
というわけで、飯の調達に来たわけだ。お前、何かオススメのシャーレアン料理とかないか？			というわけで、飯の調達に来たわけだ。お前、何かオススメのシャーレアン料理とかないか？			流星と陽の軌跡							
何と言う？			何と言う？			流星と陽の軌跡							
そこのよろず屋に、賢人パンが売ってる			そこのよろず屋に、賢人パンが売ってる			流星と陽の軌跡							
ラストスタンドの方がおすすめ			ラストスタンドの方がおすすめ			流星と陽の軌跡							
賢人パン……？初めて聞くが、確かにシャーレアンっぽい名前だな。この街の名物ってところか？			賢人パン……？初めて聞くが、確かにシャーレアンっぽい名前だな。この街の名物ってところか？			流星と陽の軌跡							
んじゃ、それを買ってくわ！教えてくれて、ありがとな！			んじゃ、それを買ってくわ！教えてくれて、ありがとな！			流星と陽の軌跡							
ラストスタンドっていうと、あの港にあるカフェか？へぇ、あそこの飯、うまいのか……。			ラストスタンドっていうと、あの港にあるカフェか？へぇ、あそこの飯、うまいのか……。			流星と陽の軌跡							
そいつは試さないわけにはいかないな！ありがとよ、さっそく行ってくるわ！			そいつは試さないわけにはいかないな！ありがとよ、さっそく行ってくるわ！			流星と陽の軌跡							
(-？？？？-)オォ～！Forenameさんと、タタルさんではありませんか！			(-？？？？-)オォ～！Forenameさんと、タタルさんではありませんか！			流星と陽の軌跡							
ハンコックさん！？ど、どうしてまだいるんでっすか！？			ハンコックさん！？ど、どうしてまだいるんでっすか！？			流星と陽の軌跡							
あなたは、運んできた荷物を搬入したら、すぐ帰るとおっしゃっていたはずでっす……！			あなたは、運んできた荷物を搬入したら、すぐ帰るとおっしゃっていたはずでっす……！			流星と陽の軌跡							
ええ、そのつもりデ～ス！方舟の改良も、そのための雑用も、私の領分ではありませんので……。			ええ、そのつもりデ～ス！方舟の改良も、そのための雑用も、私の領分ではありませんので……。			流星と陽の軌跡							
ただ、せっかく北洋まで来たのデスから、少々市場調査を……ネ？終わり次第、クガネに帰りマ～ス！			ただ、せっかく北洋まで来たのデスから、少々市場調査を……ネ？終わり次第、クガネに帰りマ～ス！			流星と陽の軌跡							
たくましいというか、変わらないというか……世界が大ピンチなのに、そんな調子でいいんでっすか？			たくましいというか、変わらないというか……世界が大ピンチなのに、そんな調子でいいんでっすか？			流星と陽の軌跡							
