忘れられた騎士亭前のユステシアは、冒険者に興味があるようだ。			忘れられた騎士亭前のユステシアは、冒険者に興味があるようだ。			イシュガルドのモブハント（中級）							
私たちに助けを求めているのは、イクサル族の、ドゾル・メロックに違いありません！急いで救助に向かわねば……！			私たちに助けを求めているのは、イクサル族の、ドゾル・メロックに違いありません！急いで救助に向かわねば……！			強き破壊が生む惨劇							
……ザイ・ア・ネルハーにも伝えておくべきでしょうね。大丈夫、私はあなたが力を制御できていると信じています！			……ザイ・ア・ネルハーにも伝えておくべきでしょうね。大丈夫、私はあなたが力を制御できていると信じています！			強き破壊が生む惨劇							
あなたの戦いぶりを見せる、いい機会になるかもしれません。真の黒魔道士の戦いぶりを、ザイ・ア・ネルハーに見せつけてやりなさい！			あなたの戦いぶりを見せる、いい機会になるかもしれません。真の黒魔道士の戦いぶりを、ザイ・ア・ネルハーに見せつけてやりなさい！			強き破壊が生む惨劇							
黒魔道士Forename Surnameよ。「アルダースプリングス」に向かい、「ドゾル・メロック」を救うのです！			黒魔道士Forename Surnameよ。「アルダースプリングス」に向かい、「ドゾル・メロック」を救うのです！			強き破壊が生む惨劇							
黒魔道士Forename Surnameよ。「アルダースプリングス」に向かい、「ドゾル・メロック」を救うのです！			黒魔道士Forename Surnameよ。「アルダースプリングス」に向かい、「ドゾル・メロック」を救うのです！			強き破壊が生む惨劇							
助かったッァ、間一髪ってやつだぜッェ……。カザグ・チャーから伝言をもらってよおッォ、慌てて逃げ出したんだがッァ、見つかっちまってなッァ。			助かったッァ、間一髪ってやつだぜッェ……。カザグ・チャーから伝言をもらってよおッォ、慌てて逃げ出したんだがッァ、見つかっちまってなッァ。			強き破壊が生む惨劇							
連中はッァ、オレが同族の住処に近づけないことッォ、知ってやがったみたいだッァ。森に囲いこむようにッィ、追っかけてきやがってッェ……！			連中はッァ、オレが同族の住処に近づけないことッォ、知ってやがったみたいだッァ。森に囲いこむようにッィ、追っかけてきやがってッェ……！			強き破壊が生む惨劇							
結局は追い詰められてよッォ、仲間になることを断ったらッァ、このザマだッァ。面倒かけてッェ、すまなかったなッァ……。			結局は追い詰められてよッォ、仲間になることを断ったらッァ、このザマだッァ。面倒かけてッェ、すまなかったなッァ……。			強き破壊が生む惨劇							
クソッ、間に合わなかったか……！また、破壊の力を無闇にふるったな！			クソッ、間に合わなかったか……！また、破壊の力を無闇にふるったな！			強き破壊が生む惨劇							
君は、なにを考えているんだ……。このような無駄な殺生を、幾度くりかえせば……。			君は、なにを考えているんだ……。このような無駄な殺生を、幾度くりかえせば……。			強き破壊が生む惨劇							
……これは……どういうことだ？通常の魔法による外傷とは違う……！まるで「内側から焼かれている」みたいじゃないか！？			……これは……どういうことだ？通常の魔法による外傷とは違う……！まるで「内側から焼かれている」みたいじゃないか！？			強き破壊が生む惨劇							
こいつらの死因は、Forenameの黒魔法ではないのか……？			こいつらの死因は、Forenameの黒魔法ではないのか……？			強き破壊が生む惨劇							
この兄ちゃんはッァ、なにを言ってるんだッァ？こちとらッァ、ずっと逃亡生活だったんだからよッォ。わかったことがあるんならッァ、教えやがれッェ！			この兄ちゃんはッァ、なにを言ってるんだッァ？こちとらッァ、ずっと逃亡生活だったんだからよッォ。わかったことがあるんならッァ、教えやがれッェ！			強き破壊が生む惨劇							
なるほどッォ、その「ザルの書」を読んでッェ、ひいバアちゃんの境遇を知っていたからッァ、連中はッァ、オレを黒衣森に追い詰めたのかッァ。			なるほどッォ、その「ザルの書」を読んでッェ、ひいバアちゃんの境遇を知っていたからッァ、連中はッァ、オレを黒衣森に追い詰めたのかッァ。			強き破壊が生む惨劇							
……ところでッェ、この兄ちゃんの疑問だがよッォ。ずばりッィ、連中が死んじまったのはッァ、「シャトトの魔石」を持ってなかったからじゃねえかッァ？			……ところでッェ、この兄ちゃんの疑問だがよッォ。ずばりッィ、連中が死んじまったのはッァ、「シャトトの魔石」を持ってなかったからじゃねえかッァ？			強き破壊が生む惨劇							
