アルザダール通りのグ・ラハ・ティアは、渡したいものがあるようだ。			アルザダール通りのグ・ラハ・ティアは、渡したいものがあるようだ。			闇の戦士の再訪							
こちらは順調だ。貴殿は「グランド・ホプロン」方面で目撃証言を集めてくれ。			こちらは順調だ。貴殿は「グランド・ホプロン」方面で目撃証言を集めてくれ。			赦しもなく、救いもなく							
皇都に巨大な竜が出現したとき？私はその時こちらにはおりませんでしたの。			皇都に巨大な竜が出現したとき？私はその時こちらにはおりませんでしたの。			赦しもなく、救いもなく							
それにしても恐ろしいかぎりですわ。議会の発表ではドラゴン族の襲来ではないとのことですけど、それって本当ですの？			それにしても恐ろしいかぎりですわ。議会の発表ではドラゴン族の襲来ではないとのことですけど、それって本当ですの？			赦しもなく、救いもなく							
グランド・ホプロンで出現した獣？俺、エレゼン族の男が竜に変わる瞬間を見たよ！てっきり異端者かと思ったが、違ったのか？			グランド・ホプロンで出現した獣？俺、エレゼン族の男が竜に変わる瞬間を見たよ！てっきり異端者かと思ったが、違ったのか？			赦しもなく、救いもなく							
グランド・ホプロンでの事件には居合わせておらぬが、外套も羽織らない簡素な身なりの男なら、すれ違ったぞ。			グランド・ホプロンでの事件には居合わせておらぬが、外套も羽織らない簡素な身なりの男なら、すれ違ったぞ。			赦しもなく、救いもなく							
どうやら、蒼天街のルーシュマンド記念病院を抜け出したようでな。病院の職員が彼を探していたから、覚えているんじゃ。ええっと「ヴァンドロー」という名だったかの。			どうやら、蒼天街のルーシュマンド記念病院を抜け出したようでな。病院の職員が彼を探していたから、覚えているんじゃ。ええっと「ヴァンドロー」という名だったかの。			赦しもなく、救いもなく							
皇都に巨大な竜が出現した際、私はその時こちらにはおりませんでしたの。			皇都に巨大な竜が出現した際、私はその時こちらにはおりませんでしたの。			赦しもなく、救いもなく							
グランド・ホプロンで出現した獣？俺、エレゼン族の男が竜に変わる瞬間を見たよ！てっきり異端者かと思ったが、違ったのか？			グランド・ホプロンで出現した獣？俺、エレゼン族の男が竜に変わる瞬間を見たよ！てっきり異端者かと思ったが、違ったのか？			赦しもなく、救いもなく							
外套も羽織らない簡素な身なりの男性なら、すれ違ったぞ。蒼天街のルーシュマンド記念病院を抜け出した、ええっと「ヴァンドロー」という名だったかの。			外套も羽織らない簡素な身なりの男性なら、すれ違ったぞ。蒼天街のルーシュマンド記念病院を抜け出した、ええっと「ヴァンドロー」という名だったかの。			赦しもなく、救いもなく							
有力な情報はあったか？			有力な情報はあったか？			赦しもなく、救いもなく							
Forename、戻ったか。そちらで集めてきた情報を教えてくれ。			Forename、戻ったか。そちらで集めてきた情報を教えてくれ。			赦しもなく、救いもなく							
なるほど。復興特区である蒼天街、そこに設立された病院から、抜け出したとおぼしき男か……。			なるほど。復興特区である蒼天街、そこに設立された病院から、抜け出したとおぼしき男か……。			赦しもなく、救いもなく							
なるほど。蒼天街の病院を抜け出したとおぼしき男か……。			なるほど。蒼天街の病院を抜け出したとおぼしき男か……。			赦しもなく、救いもなく							
こちらでも、寒さを忘れた様子で、呆然自失の状態で歩いている者を見た、という証言がありましたね。			こちらでも、寒さを忘れた様子で、呆然自失の状態で歩いている者を見た、という証言がありましたね。			赦しもなく、救いもなく							
