ミーン工芸館のベスリクは、冒険者に相談したいことがあるようだ。			ミーン工芸館のベスリクは、冒険者に相談したいことがあるようだ。			生きるべき場所							
俺たちは里の北側を回ってきたが、これといった成果はなしだ。それほど罪喰いの被害を受けていないのは、幸運なことだがな……。			俺たちは里の北側を回ってきたが、これといった成果はなしだ。それほど罪喰いの被害を受けていないのは、幸運なことだがな……。			護り手の里							
ここの里のみなさんは、大きな目でじーっと見てくるので、お話するの、ちょっとドキドキしちゃいました……。でも、聞き込み、がんばりました……！			ここの里のみなさんは、大きな目でじーっと見てくるので、お話するの、ちょっとドキドキしちゃいました……。でも、聞き込み、がんばりました……！			護り手の里							
護り手たるヴィース族の話は、興味深いものです。ヤ・シュトラなど、こんなときでもなければ、いつまでも話し込みたいのではないかと思います。			護り手たるヴィース族の話は、興味深いものです。ヤ・シュトラなど、こんなときでもなければ、いつまでも話し込みたいのではないかと思います。			護り手の里							
聞き込みをするついでに、集落の周りを、ざっと「視て」みたけれど……大罪喰いに繋がりそうな痕跡はなかったわ。			聞き込みをするついでに、集落の周りを、ざっと「視て」みたけれど……大罪喰いに繋がりそうな痕跡はなかったわ。			護り手の里							
これで、全員戻って来たか……。何か有力な情報はあっただろうか？			これで、全員戻って来たか……。何か有力な情報はあっただろうか？			護り手の里							
何だと……！ラケティカ大飛瀑の方に、それらしき罪喰いが……！？それは、私たちも初耳だな……。			何だと……！ラケティカ大飛瀑の方に、それらしき罪喰いが……！？それは、私たちも初耳だな……。			護り手の里							
けど、ラケティカ大飛瀑かー……。そいつはちょっと、面倒な場所だなぁ……。			けど、ラケティカ大飛瀑かー……。そいつはちょっと、面倒な場所だなぁ……。			護り手の里							
どういうこと……？私も聞いたことのない地名だから、森のかなり深いところにあるのでしょうけれど……。			どういうこと……？私も聞いたことのない地名だから、森のかなり深いところにあるのでしょうけれど……。			護り手の里							
はい、そうなんです……。加えて、度重なる罪喰いとの戦いで、そちらに続く道が崩落しちゃってて……。			はい、そうなんです……。加えて、度重なる罪喰いとの戦いで、そちらに続く道が崩落しちゃってて……。			護り手の里							
私たちでさえ、近づくこともできなくなって、長年放置されている土地なんですぅ……。			私たちでさえ、近づくこともできなくなって、長年放置されている土地なんですぅ……。			護り手の里							
裏を返せば、そんな場所だからこそ、長年に渡って我々にも知られずに、大罪喰いが潜んでいられたとも考えられるな……。			裏を返せば、そんな場所だからこそ、長年に渡って我々にも知られずに、大罪喰いが潜んでいられたとも考えられるな……。			護り手の里							
ふむ……どうしても、ということであれば、無理やり行く手段がないわけではない……。			ふむ……どうしても、ということであれば、無理やり行く手段がないわけではない……。			護り手の里							
