不滅隊：作戦本部のダンシング・ウルフ大闘士は、現状に焦れているようだ。			不滅隊：作戦本部のダンシング・ウルフ大闘士は、現状に焦れているようだ。			残留する力をその身に							
ラウドジョクスと話した。彼は、商品の補充のため、ナルブルーイの若葉を求めているようだ。低地ドラヴァニアのシャーレアン工匠街で、「ナルブルーイ」を討伐して、「ナルブルーイの若葉」を6枚入手しよう。			ラウドジョクスと話した。彼は、商品の補充のため、ナルブルーイの若葉を求めているようだ。低地ドラヴァニアのシャーレアン工匠街で、「ナルブルーイ」を討伐して、「ナルブルーイの若葉」を6枚入手しよう。			ラウドジョクスの特製ブレンド							
ナルブルーイの若葉を入手した。イディルシャイアの「ラウドジョクス」に「ナルブルーイの若葉」を渡そう。			ナルブルーイの若葉を入手した。イディルシャイアの「ラウドジョクス」に「ナルブルーイの若葉」を渡そう。			ラウドジョクスの特製ブレンド							
ラウドジョクスにナルブルーイの若葉を渡した。ゴブリン族のマスクの中には、香草が詰まっている。ナルブルーイの若葉があれば、ラウドジョクス特製の香草ブレンドが作成できるらしい。			ラウドジョクスにナルブルーイの若葉を渡した。ゴブリン族のマスクの中には、香草が詰まっている。ナルブルーイの若葉があれば、ラウドジョクス特製の香草ブレンドが作成できるらしい。			ラウドジョクスの特製ブレンド							
シャーレアン工匠街のナルブルーイからナルブルーイの若葉を入手			シャーレアン工匠街のナルブルーイからナルブルーイの若葉を入手			ラウドジョクスの特製ブレンド							
イディルシャイアのラウドジョクスにナルブルーイの若葉を渡す			イディルシャイアのラウドジョクスにナルブルーイの若葉を渡す			ラウドジョクスの特製ブレンド							
シュコォ……シュコォ……香草ブレンド　売り切れ中　またの機会に　お願いね～！……あれあれ　あんたは客じゃない？			シュコォ……シュコォ……香草ブレンド　売り切れ中　またの機会に　お願いね～！……あれあれ　あんたは客じゃない？			ラウドジョクスの特製ブレンド							
仕事　探してるなら　任せたい～！「ナルブルーイ」倒して　若葉を6枚　採ってきて～！若葉は一度に　2枚採れる　それで幸せ　あんたも幸せ～！			仕事　探してるなら　任せたい～！「ナルブルーイ」倒して　若葉を6枚　採ってきて～！若葉は一度に　2枚採れる　それで幸せ　あんたも幸せ～！			ラウドジョクスの特製ブレンド							
仕事　探してるなら　任せたい～！「ナルブルーイ」倒して　若葉を6枚　採ってきて～！若葉は一度に　2枚採れる　それで幸せ　あんたも幸せ～！			仕事　探してるなら　任せたい～！「ナルブルーイ」倒して　若葉を6枚　採ってきて～！若葉は一度に　2枚採れる　それで幸せ　あんたも幸せ～！			ラウドジョクスの特製ブレンド							
仕事　探してるなら　任せたい～！「ナルブルーイ」倒して　若葉を6枚　採ってきて～！若葉は一度に　2枚採れる　それで幸せ　あんたも幸せ～！			仕事　探してるなら　任せたい～！「ナルブルーイ」倒して　若葉を6枚　採ってきて～！若葉は一度に　2枚採れる　それで幸せ　あんたも幸せ～！			ラウドジョクスの特製ブレンド							
シュコォ……シュコォ……これこれ　とっても　いい香り！ゴブ特製の香草ブレンド　これで生産　増産ね～！			シュコォ……シュコォ……これこれ　とっても　いい香り！ゴブ特製の香草ブレンド　これで生産　増産ね～！			ラウドジョクスの特製ブレンド							
ゴブリン族のマスクには　香草いっぱい詰まってる～！そうすりゃいつでも　いい香り　どんな場所でも　いい香り！それじゃあ　報酬　渡そうね～！			ゴブリン族のマスクには　香草いっぱい詰まってる～！そうすりゃいつでも　いい香り　どんな場所でも　いい香り！それじゃあ　報酬　渡そうね～！			ラウドジョクスの特製ブレンド							
イディルシャイアのハーフシクスは、いたずらを企んでいる。			イディルシャイアのハーフシクスは、いたずらを企んでいる。			妨害雷波でいたずらだ							
ハーフシクスから、「青の手」がうろつく場所に、妨害雷波装置の設置を頼まれた。低地ドラヴァニアのシャーレアン工匠街で、「指定地点」に、「妨害雷波装置」を3個設置しよう。			ハーフシクスから、「青の手」がうろつく場所に、妨害雷波装置の設置を頼まれた。低地ドラヴァニアのシャーレアン工匠街で、「指定地点」に、「妨害雷波装置」を3個設置しよう。			妨害雷波でいたずらだ							
妨害雷波装置を設置した。イディルシャイアの「ハーフシクス」に報告しよう。			妨害雷波装置を設置した。イディルシャイアの「ハーフシクス」に報告しよう。			妨害雷波でいたずらだ							
ハーフシクスに報告した。設置した妨害雷波装置で、「青の手」の通信を妨害するいたずらを仕掛け、ハーフシクスはほくそ笑むのだった。			ハーフシクスに報告した。設置した妨害雷波装置で、「青の手」の通信を妨害するいたずらを仕掛け、ハーフシクスはほくそ笑むのだった。			妨害雷波でいたずらだ							
