バルデシオン分館のクルルは、グ・ラハ・ティアと何か話していたようだ。			バルデシオン分館のクルルは、グ・ラハ・ティアと何か話していたようだ。			シャーレアン魔法大学							
そうか……。私が見たかぎりでも、やはり状況はよくないようだった。			そうか……。私が見たかぎりでも、やはり状況はよくないようだった。			冷え切った灰色の駅							
とくに、ここに集められている傷病者は、この寒さと栄養不足で、かなり危険な容体のようだ。			とくに、ここに集められている傷病者は、この寒さと栄養不足で、かなり危険な容体のようだ。			冷え切った灰色の駅							
今の私にできることは少ないが、少しでも何かと思って、こうして声掛けをしていたんだよ。			今の私にできることは少ないが、少しでも何かと思って、こうして声掛けをしていたんだよ。			冷え切った灰色の駅							
君も、よければ頼む。ほんの少し介抱するだけでも、違うと思うんだ……。			君も、よければ頼む。ほんの少し介抱するだけでも、違うと思うんだ……。			冷え切った灰色の駅							
隣の車両の人たちには、まだ声を掛けられていないんだ。様子を見て、できれば介抱してもらえないかい？			隣の車両の人たちには、まだ声を掛けられていないんだ。様子を見て、できれば介抱してもらえないかい？			冷え切った灰色の駅							
…………自分をさすってくれたのは、どなたですか……？すみません、目がかすんで……よく見えていなくて……。			…………自分をさすってくれたのは、どなたですか……？すみません、目がかすんで……よく見えていなくて……。			冷え切った灰色の駅							
ありがとうございます……優しい人……。気が弱って、このまま死ぬんだと……ただそればかりでしたが……			ありがとうございます……優しい人……。気が弱って、このまま死ぬんだと……ただそればかりでしたが……			冷え切った灰色の駅							
……資材は、戦える者に……使ってください……。彼らの糧に……魔導兵器に……。			……資材は、戦える者に……使ってください……。彼らの糧に……魔導兵器に……。			冷え切った灰色の駅							
大丈夫、私たちのガレマール帝国は……何度でも……必ず……苦難に勝利しますよ……。			大丈夫、私たちのガレマール帝国は……何度でも……必ず……苦難に勝利しますよ……。			冷え切った灰色の駅							
手を……どうか、あなたの手を……。そうしてくれる誰かがいるかぎり……どんな運命も……私を……不幸にはできないでしょう……。			手を……どうか、あなたの手を……。そうしてくれる誰かがいるかぎり……どんな運命も……私を……不幸にはできないでしょう……。			冷え切った灰色の駅							
……あちらの車両にいる者も、容体は芳しくないようだね。			……あちらの車両にいる者も、容体は芳しくないようだね。			冷え切った灰色の駅							
Forename……私は無理を承知の上で、もう一度ここの人々に、派遣団からの支援物資を受け取ってもらえないか相談したい。			Forename……私は無理を承知の上で、もう一度ここの人々に、派遣団からの支援物資を受け取ってもらえないか相談したい。			冷え切った灰色の駅							
クイントゥス殿の懸念を、ないがしろにするわけではないよ。ただ、大きな思惑がどうあれ、この人たちは苦しんでる。私はそれを拭うために、できることをしたいんだ……！			クイントゥス殿の懸念を、ないがしろにするわけではないよ。ただ、大きな思惑がどうあれ、この人たちは苦しんでる。私はそれを拭うために、できることをしたいんだ……！			冷え切った灰色の駅							
