あんたが持っているソレは……。もしかして、ミリスの「探検手帳」じゃないか？			あんたが持っているソレは……。もしかして、ミリスの「探検手帳」じゃないか？			蒼天の探検手帳							
ギドゥロと騎士たちが魔物に襲われていた。クルザス西部高地のリバーズミートにある「指定地点」で辺りを見渡して、出現した魔物を討伐しよう。			ギドゥロと騎士たちが魔物に襲われていた。クルザス西部高地のリバーズミートにある「指定地点」で辺りを見渡して、出現した魔物を討伐しよう。			放蕩と堅物							
魔物を討伐した。ツインプールズの「ギドゥロ」と話そう。			魔物を討伐した。ツインプールズの「ギドゥロ」と話そう。			放蕩と堅物							
ギドゥロと話した。彼が騎士を追いかけたのは、恋人の手紙と贈り物を届けるためだった。騎士は、「終焉の戦歌」を探す協力を約束すると去っていった。ファルコンネストに戻り「サンソン大牙士」と話そう。			ギドゥロと話した。彼が騎士を追いかけたのは、恋人の手紙と贈り物を届けるためだった。騎士は、「終焉の戦歌」を探す協力を約束すると去っていった。ファルコンネストに戻り「サンソン大牙士」と話そう。			放蕩と堅物							
サンソン大牙士と話した。サンソン大牙士は引き続き、情報収集を行うという。調査は彼らに任せて、力を蓄えておこう。※吟遊詩人のレベルが54以上になると、ファルコンネストのサンソン大牙士から、次の吟遊詩人クエストを受注することができます。			サンソン大牙士と話した。サンソン大牙士は引き続き、情報収集を行うという。調査は彼らに任せて、力を蓄えておこう。※吟遊詩人のレベルが54以上になると、ファルコンネストのサンソン大牙士から、次の吟遊詩人クエストを受注することができます。			放蕩と堅物							
ファルコンネストのサンソン大牙士と話す			ファルコンネストのサンソン大牙士と話す			放蕩と堅物							
ギドゥロと話す			ギドゥロと話す			放蕩と堅物							
指定地点で見渡して出現した魔物を討伐			指定地点で見渡して出現した魔物を討伐			放蕩と堅物							
ギドゥロと話す			ギドゥロと話す			放蕩と堅物							
サンソン大牙士と話す			サンソン大牙士と話す			放蕩と堅物							
Forenameさん、俺はもう限界だ……！ギドゥロの奴、「終焉の戦歌」の調査を全然しないんです！			Forenameさん、俺はもう限界だ……！ギドゥロの奴、「終焉の戦歌」の調査を全然しないんです！			放蕩と堅物							
酒場やマーケット、さらには、女の家を遊び歩くばかり！あれだけ、卓越した詩歌の才を持ちながらも、戯れ事のためにしか奏でようとしない……！			酒場やマーケット、さらには、女の家を遊び歩くばかり！あれだけ、卓越した詩歌の才を持ちながらも、戯れ事のためにしか奏でようとしない……！			放蕩と堅物							
今日も、知り合った女から、恋人の騎士の方が歌が上手いと言われたとかで、そいつと勝負すると言って、都市を出ていってしまいました。			今日も、知り合った女から、恋人の騎士の方が歌が上手いと言われたとかで、そいつと勝負すると言って、都市を出ていってしまいました。			放蕩と堅物							
俺と「ファルコンネスト」へ向かってくださいませんか？あいつを叱りつけてください！			俺と「ファルコンネスト」へ向かってくださいませんか？あいつを叱りつけてください！			放蕩と堅物							
お前らが言ってるのは、あの変な吟遊詩人だろ？何なんだよ、あいつ……。			お前らが言ってるのは、あの変な吟遊詩人だろ？何なんだよ、あいつ……。			放蕩と堅物							
ああ、Forenameさん……。あの大馬鹿野郎、相手の騎士が警戒任務に出たと聞いて、集落の外へ飛び出していったらしいです……。			ああ、Forenameさん……。あの大馬鹿野郎、相手の騎士が警戒任務に出たと聞いて、集落の外へ飛び出していったらしいです……。			放蕩と堅物							
