パーラカの里のマトシャは、何かを切り出すタイミングを計っているようだ。			パーラカの里のマトシャは、何かを切り出すタイミングを計っているようだ。			暗闇を彩りながら							
ふふん、頼もしいねー！さすが、うちの被検体に志願した度胸の持ち主だよ。			ふふん、頼もしいねー！さすが、うちの被検体に志願した度胸の持ち主だよ。			迷えるクジラと水脈							
……俺も行かせてくれ！			……俺も行かせてくれ！			迷えるクジラと水脈							
おお？大学に引き篭もってばかりの君が、サベネア島に行くの？			おお？大学に引き篭もってばかりの君が、サベネア島に行くの？			迷えるクジラと水脈							
こいつが各地を飛び回ってくれたことで、俺の研究は進展を見せてきたんだ。なら俺も、肝心なときに待ってるだけじゃいられない！			こいつが各地を飛び回ってくれたことで、俺の研究は進展を見せてきたんだ。なら俺も、肝心なときに待ってるだけじゃいられない！			迷えるクジラと水脈							
チャ・ラカさん、サベネア島なんて行ったことないでしょう……！？行くとなれば、新型エーテライトでってなるんでしょうけど、エーテル酔いが酷いんだから、絶対やめておいたほうが……。			チャ・ラカさん、サベネア島なんて行ったことないでしょう……！？行くとなれば、新型エーテライトでってなるんでしょうけど、エーテル酔いが酷いんだから、絶対やめておいたほうが……。			迷えるクジラと水脈							
今回の調査は、すぐに決行しなくちゃ意味がない！それに……俺がエーテル学の研究者として生きていく以上、フィールドワークは、避けて通れない道だからな。			今回の調査は、すぐに決行しなくちゃ意味がない！それに……俺がエーテル学の研究者として生きていく以上、フィールドワークは、避けて通れない道だからな。			迷えるクジラと水脈							
恐怖が先立って、これまで避けてきたけど……今が、そのときだって感じるんだ！			恐怖が先立って、これまで避けてきたけど……今が、そのときだって感じるんだ！			迷えるクジラと水脈							
……こりゃ、意志は固そうだね！			……こりゃ、意志は固そうだね！			迷えるクジラと水脈							
もう……知りませんからね。Forenameさんに、迷惑がかからないようにしてくださいよ。			もう……知りませんからね。Forenameさんに、迷惑がかからないようにしてくださいよ。			迷えるクジラと水脈							
あっ！　そ、それはそうだな……なぁ、Forename。俺も一緒に行って、構わないか……？			あっ！　そ、それはそうだな……なぁ、Forename。俺も一緒に行って、構わないか……？			迷えるクジラと水脈							
よしっ……！！それじゃあ、イェドリマンで集合だ！俺とお前で、事件の真相を探りにいこう！			よしっ……！！それじゃあ、イェドリマンで集合だ！俺とお前で、事件の真相を探りにいこう！			迷えるクジラと水脈							
チャ・ラカさんは、イェドリマンまで、キットさんのところから新型エーテライトを使うみたいですね。意気込んでましたけど、本当に大丈夫かな……。			チャ・ラカさんは、イェドリマンまで、キットさんのところから新型エーテライトを使うみたいですね。意気込んでましたけど、本当に大丈夫かな……。			迷えるクジラと水脈							
こいつがエーテル酔いで転がってるのを見つけてな……。少し様子を見てやってたんだ。			こいつがエーテル酔いで転がってるのを見つけてな……。少し様子を見てやってたんだ。			迷えるクジラと水脈							
