レヴナンツトールのグラウムントは、冒険者に情報を提供してくれるようだ。			レヴナンツトールのグラウムントは、冒険者に情報を提供してくれるようだ。			帝国軍あざむき作戦							
サカナのオジサンは、ぜったいに悪いヒトじゃないよ！ボクを小舟に乗せて、助けてくれたんだ！……ちょっと生臭かったけどね、えへへ。			サカナのオジサンは、ぜったいに悪いヒトじゃないよ！ボクを小舟に乗せて、助けてくれたんだ！……ちょっと生臭かったけどね、えへへ。			深海より来たりしもの							
(-遭難者の女性-)ああ……ロビン……本当によかった……女神リムレーンのご加護ね……！			(-遭難者の女性-)ああ……ロビン……本当によかった……女神リムレーンのご加護ね……！			深海より来たりしもの							
サハギン族が子どもを救ったなんて……ありえない！奴らは我らの宿敵、冷酷非情な蛮族のはず……。……これは何かの策略なのでは！？			サハギン族が子どもを救ったなんて……ありえない！奴らは我らの宿敵、冷酷非情な蛮族のはず……。……これは何かの策略なのでは！？			深海より来たりしもの							
フスィーッ……何だお前は！？ヒレナシが俺たちの育成地に何の用だ！？帰れ、ヒレナシ！　ここは俺たちの土地だっ！			フスィーッ……何だお前は！？ヒレナシが俺たちの育成地に何の用だ！？帰れ、ヒレナシ！　ここは俺たちの土地だっ！			深海より来たりしもの							
フスィーッ！　これはノォヴの親父が持っていた「銀鮫の牙飾り」じゃないか！ヒレナシ、お前、どこでこれを……？			フスィーッ！　これはノォヴの親父が持っていた「銀鮫の牙飾り」じゃないか！ヒレナシ、お前、どこでこれを……？			深海より来たりしもの							
フスィーッ……なるほど……子どもを助けた礼がしたいんだな？お前、ヒレナシのクセに、なかなか殊勝な真似をする奴だな。			フスィーッ……なるほど……子どもを助けた礼がしたいんだな？お前、ヒレナシのクセに、なかなか殊勝な真似をする奴だな。			深海より来たりしもの							
フスィーッ、中に入るがいい。ヒレナシの子どもを助けたのは、「ノォヴ」という。この育成地の長……そして俺たちの親父だ。			フスィーッ、中に入るがいい。ヒレナシの子どもを助けたのは、「ノォヴ」という。この育成地の長……そして俺たちの親父だ。			深海より来たりしもの							
フスィーッ……俺たちサハギン族に臆しないとは、なかなか見所のあるヒレナシだ。育成地の中に入り、「ノォヴ」の親父と会うがいい。			フスィーッ……俺たちサハギン族に臆しないとは、なかなか見所のあるヒレナシだ。育成地の中に入り、「ノォヴ」の親父と会うがいい。			深海より来たりしもの							
フスィーッ……ヒトがこの育成地にやってくるとは。……なるほど、我らが助けたあのヒトの子の知り合いか。私はノォヴ、この育成地の長であり、父でもある。			フスィーッ……ヒトがこの育成地にやってくるとは。……なるほど、我らが助けたあのヒトの子の知り合いか。私はノォヴ、この育成地の長であり、父でもある。			深海より来たりしもの							
フスィーッ……ヒトの子を助けたことに、特別な理由などない。我らサハギン族は、血の絆を何より大切と考える。「子は宝」……それはヒトもサハギンも変わらないだろう？			フスィーッ……ヒトの子を助けたことに、特別な理由などない。我らサハギン族は、血の絆を何より大切と考える。「子は宝」……それはヒトもサハギンも変わらないだろう？			深海より来たりしもの							
この育成地にいるサハギン族も皆、血の繋がった家族。全員が、この私の子どもたちだ。			この育成地にいるサハギン族も皆、血の繋がった家族。全員が、この私の子どもたちだ。			深海より来たりしもの							
なくした牙飾りをもってきてくれたのだな？これは、我らが女王「蒼茫の母」に下賜された勲章……。子どもたちの次に、私が大切にしていた宝物だ。			なくした牙飾りをもってきてくれたのだな？これは、我らが女王「蒼茫の母」に下賜された勲章……。子どもたちの次に、私が大切にしていた宝物だ。			深海より来たりしもの							
「一匹の魚の恩には、魚群の礼で報いよ」……フスィーッ、私たちサハギン族の習わしだ。ゆえに私はお前を歓迎しよう。			「一匹の魚の恩には、魚群の礼で報いよ」……フスィーッ、私たちサハギン族の習わしだ。ゆえに私はお前を歓迎しよう。			深海より来たりしもの							
なんなら、ささやかな酒宴を催してもいいぞ？……もっとも、我らのもてなしが、ヒトであるお前の口に合うものかは知らないがな、フスィーッ。			なんなら、ささやかな酒宴を催してもいいぞ？……もっとも、我らのもてなしが、ヒトであるお前の口に合うものかは知らないがな、フスィーッ。			深海より来たりしもの							
ノォヴの育成地のノォヴは、冒険者に折り入って話があるらしい。			ノォヴの育成地のノォヴは、冒険者に折り入って話があるらしい。			まほろばの血族							
ノォヴの息子のピュウが、サハギン族の中でも過激な一派「珊瑚の銛」と談判に行ってしまったらしい。ノォヴの育成地の「セェウ」に詳しい話を聞こう。			ノォヴの息子のピュウが、サハギン族の中でも過激な一派「珊瑚の銛」と談判に行ってしまったらしい。ノォヴの育成地の「セェウ」に詳しい話を聞こう。			まほろばの血族							
セェウは、弟のピュウが「珊瑚の銛」に殺されるのではと案じていた。西ラノシアのハーフストーンにある「サハギン軍陣営」付近へ向かい、ピュウを探そう。			セェウは、弟のピュウが「珊瑚の銛」に殺されるのではと案じていた。西ラノシアのハーフストーンにある「サハギン軍陣営」付近へ向かい、ピュウを探そう。			まほろばの血族							
案の定、ピュウは「珊瑚の銛」に襲われていた。サハギン軍陣営で「珊瑚の銛」の一味に襲われている「ピュウ」を救助しよう。			案の定、ピュウは「珊瑚の銛」に襲われていた。サハギン軍陣営で「珊瑚の銛」の一味に襲われている「ピュウ」を救助しよう。			まほろばの血族							
