トライヨラのボロガーは、冒険者に伝えたいことがあるようだ。			トライヨラのボロガーは、冒険者に伝えたいことがあるようだ。			トラル大陸のモブハント（リスキー）							
本当に、ありがとうございました……。おかえりなさい。			本当に、ありがとうございました……。おかえりなさい。			ふたりの剣							
バックルームのシェールは、安堵した様子だ。			バックルームのシェールは、安堵した様子だ。			明日への道標							
シェールたちと勝利を噛みしめた。アレクサンドリアの人々が落ち着くまで、数週間はかかるだろう。バックルームの「シェール」に話しかけ、休息をとろう。			シェールたちと勝利を噛みしめた。アレクサンドリアの人々が落ち着くまで、数週間はかかるだろう。バックルームの「シェール」に話しかけ、休息をとろう。			明日への道標							
休息をとりながら、アレクサンドリアの再出発を見守った。リビング・メモリーのレイノード・メモリスで「スフェーン」と話そう。			休息をとりながら、アレクサンドリアの再出発を見守った。リビング・メモリーのレイノード・メモリスで「スフェーン」と話そう。			明日への道標							
スフェーンは戸惑いながらも民を護る決意を固めたようだ。トライヨラのヴォロク連王宮前で「ウクラマト」と話そう。			スフェーンは戸惑いながらも民を護る決意を固めたようだ。トライヨラのヴォロク連王宮前で「ウクラマト」と話そう。			明日への道標							
ウクラマトたちから、それぞれの想いを受け取った。ソリューション・ナインのプラクシスパークで「スフェーン」と話そう。			ウクラマトたちから、それぞれの想いを受け取った。ソリューション・ナインのプラクシスパークで「スフェーン」と話そう。			明日への道標							
スフェーンの話から、アレクサンドリアの未来を垣間見た。この先アレクサンドリアの人々は、新たな王とともに笑顔を取り戻していくことだろう。			スフェーンの話から、アレクサンドリアの未来を垣間見た。この先アレクサンドリアの人々は、新たな王とともに笑顔を取り戻していくことだろう。			明日への道標							
シェールと話す			シェールと話す			明日への道標							
スフェーンと話す			スフェーンと話す			明日への道標							
ヴォロク連王宮前のウクラマトと話す			ヴォロク連王宮前のウクラマトと話す			明日への道標							
プラクシスパークのスフェーンと話す			プラクシスパークのスフェーンと話す			明日への道標							
あら、あなたも戻ってきたのね！私も、ガバメントと本格的に話し込む前に、顔だけでも見せておこうかなと思って立ち寄ったの。			あら、あなたも戻ってきたのね！私も、ガバメントと本格的に話し込む前に、顔だけでも見せておこうかなと思って立ち寄ったの。			明日への道標							
やっとみなさんが戻ってきたんです、今だけは、勝利の余韻に浸らせてください。			やっとみなさんが戻ってきたんです、今だけは、勝利の余韻に浸らせてください。			明日への道標							
ここまで、いろいろあったものね。			ここまで、いろいろあったものね。			明日への道標							
……ええ、本当に。おかげで僕の中でも区切りがつきました。			……ええ、本当に。おかげで僕の中でも区切りがつきました。			明日への道標							
これでよかったんですよね。カフキワさん……ジオード……。			これでよかったんですよね。カフキワさん……ジオード……。			明日への道標							
まあ、やらなきゃならないことは、むしろ増えてるんですが。ガバメントからの要請に、格納殻10-29の再調査……こうなったら腹をくくって、とことんやってやりますよ。			まあ、やらなきゃならないことは、むしろ増えてるんですが。ガバメントからの要請に、格納殻10-29の再調査……こうなったら腹をくくって、とことんやってやりますよ。			明日への道標							
