聖フィネア連隊の露営地のエスティニアンは、異端者を呼びつけたいようだ。			聖フィネア連隊の露営地のエスティニアンは、異端者を呼びつけたいようだ。			千年の裏切り							
いいえ			いいえ			アルフィノの策							
アイメリク卿による働きかけがあれば、我々が対話を試みるだけの、時間的猶予が確保できるだろう。……とはいえ、それでも時間は限られている。			アイメリク卿による働きかけがあれば、我々が対話を試みるだけの、時間的猶予が確保できるだろう。……とはいえ、それでも時間は限られている。			アルフィノの策							
何せ、ドラゴン族が再攻撃を開始する前に「氷の巫女」を見つけ、協力を要請しなくてはならない。そのうえで、ようやくドラゴン族との交渉が始まる訳だ。			何せ、ドラゴン族が再攻撃を開始する前に「氷の巫女」を見つけ、協力を要請しなくてはならない。そのうえで、ようやくドラゴン族との交渉が始まる訳だ。			アルフィノの策							
エスティニアン殿、Forename。厳しい旅路になることだろうが、なんとしても成し遂げよう。			エスティニアン殿、Forename。厳しい旅路になることだろうが、なんとしても成し遂げよう。			アルフィノの策							
どうやら俺は、教皇庁やら神殿騎士団やらに、隠し事をしたがる性分のようだ。この手の企みを、楽しく思っている自分がいる。			どうやら俺は、教皇庁やら神殿騎士団やらに、隠し事をしたがる性分のようだ。この手の企みを、楽しく思っている自分がいる。			アルフィノの策							
事情を、ちゃんと説明しておきまっした！			事情を、ちゃんと説明しておきまっした！			アルフィノの策							
砂の家のアルフィノは、冒険者に話があるようだ。			砂の家のアルフィノは、冒険者に話があるようだ。			冒険者たちの決断							
アルフィノが、タタルから連絡を受けた。ドラゴン族によるイシュガルド再攻撃の予兆があったようだ。イシュガルドのフォルタン伯爵邸付近にいる「タタル」と話そう。			アルフィノが、タタルから連絡を受けた。ドラゴン族によるイシュガルド再攻撃の予兆があったようだ。イシュガルドのフォルタン伯爵邸付近にいる「タタル」と話そう。			冒険者たちの決断							
タタルと話した。屋敷内のオルシュファンから、状況を聞けるようだ。「フォルタン伯爵邸」へ向かおう。			タタルと話した。屋敷内のオルシュファンから、状況を聞けるようだ。「フォルタン伯爵邸」へ向かおう。			冒険者たちの決断							
フォルタン家の人々から、状況を聞いた。エドモン・ド・フォルタン伯爵からは、イシュガルドからの避難も含めて、今後の身の振り方を考えるよう言われた。フォルタン伯爵邸の「アルフィノ」と話そう。			フォルタン家の人々から、状況を聞いた。エドモン・ド・フォルタン伯爵からは、イシュガルドからの避難も含めて、今後の身の振り方を考えるよう言われた。フォルタン伯爵邸の「アルフィノ」と話そう。			冒険者たちの決断							
アルフィノと話した。彼は、皇都を捨てて逃げるようでは、「暁」の再興など夢のまた夢だと言うが……。			アルフィノと話した。彼は、皇都を捨てて逃げるようでは、「暁」の再興など夢のまた夢だと言うが……。			冒険者たちの決断							
イシュガルドのタタルと話す			イシュガルドのタタルと話す			冒険者たちの決断							
フォルタン伯爵邸に向かう			フォルタン伯爵邸に向かう			冒険者たちの決断							
アルフィノと話す			アルフィノと話す			冒険者たちの決断							
……ああ、タタルか。こちらは、無事にラウバーン局長を救出できたよ。			……ああ、タタルか。こちらは、無事にラウバーン局長を救出できたよ。			冒険者たちの決断							
何ッ、ドラゴン族に動きが！？すぐに、Forenameと戻る。フォルタン伯爵には、その旨を伝えてくれ……それでは。			何ッ、ドラゴン族に動きが！？すぐに、Forenameと戻る。フォルタン伯爵には、その旨を伝えてくれ……それでは。			冒険者たちの決断							
Forename、緊急事態だ。どうやら、ドラゴン族による皇都再攻撃の予兆があったらしい。			Forename、緊急事態だ。どうやら、ドラゴン族による皇都再攻撃の予兆があったらしい。			冒険者たちの決断							
