クリスタリウムのハルドルは、冒険者に伝えたいことがあるようだ。			クリスタリウムのハルドルは、冒険者に伝えたいことがあるようだ。			ナッツクランのモブハント（上級）							
それに、トロッコ……トロッコだぁ！？冗談じゃねぇ、その名前すら、聞きたかねぇんだよ……！とっとと失せなッ！			それに、トロッコ……トロッコだぁ！？冗談じゃねぇ、その名前すら、聞きたかねぇんだよ……！とっとと失せなッ！			トゥワインへ							
こちらも、事情があるんだ。トロッコを出せないというなら、せめてその理由だけでも聞かせてほしい。			こちらも、事情があるんだ。トロッコを出せないというなら、せめてその理由だけでも聞かせてほしい。			トゥワインへ							
知らねぇよ……面倒くせぇな……。ほら、帰れ帰れッ！			知らねぇよ……面倒くせぇな……。ほら、帰れ帰れッ！			トゥワインへ							
……一度、外に出るとしよう。			……一度、外に出るとしよう。			トゥワインへ							
………………。			………………。			トゥワインへ							
導く者あれば、拒む者あり……。それはこの世の常なれど、その狭間で立ち止まることが、今の彼らにとって、どれほどにつらいことでしょう……。			導く者あれば、拒む者あり……。それはこの世の常なれど、その狭間で立ち止まることが、今の彼らにとって、どれほどにつらいことでしょう……。			トゥワインへ							
どうしてまだいやがる……帰れって言っただろうが……！			どうしてまだいやがる……帰れって言っただろうが……！			トゥワインへ							
予想はしてた結果だが……すまないな。トロッコのことは、諦めた方がいいと思うぞ。			予想はしてた結果だが……すまないな。トロッコのことは、諦めた方がいいと思うぞ。			トゥワインへ							
あっ、さっきぶりー。無事に親方には会えた？			あっ、さっきぶりー。無事に親方には会えた？			トゥワインへ							
違う……行きたくないわけがない……。本当に、私はナバスアレンに行きたいんです……。			違う……行きたくないわけがない……。本当に、私はナバスアレンに行きたいんです……。			トゥワインへ							
だって、そうしなきゃ……みんなの力にだって、なれないんだから……。			だって、そうしなきゃ……みんなの力にだって、なれないんだから……。			トゥワインへ							
ガリク村のズーンズンは、首尾を気にしているようだ。			ガリク村のズーンズンは、首尾を気にしているようだ。			トロッコ復古							
サンクレッドと話す			サンクレッドと話す			トロッコ復古							
サンクレッドと再度話す			サンクレッドと再度話す			トロッコ復古							
ビラン大鉱山で情報を集める			ビラン大鉱山で情報を集める			トロッコ復古							
ウリエンジェと話す			ウリエンジェと話す			トロッコ復古							
挙動不審な青年を探し襲われたら撃退			挙動不審な青年を探し襲われたら撃退			トロッコ復古							
サンクレッドと話す			サンクレッドと話す			トロッコ復古							
線路とトロッコについて、「ズーンズン」から、改めて話を聞いてみよう。			線路とトロッコについて、「ズーンズン」から、改めて話を聞いてみよう。			トロッコ復古							
