潮風亭のエストリルドは、道行く人を見定めているようだ。			潮風亭のエストリルドは、道行く人を見定めているようだ。			ベテラン・モブハント（初級）							
ここクガネがある島、シシュウ産の米も悪くないんですがね、隣のコウシュウ産の米の方が、やっぱり上でしてね。高い金を払って、取り寄せているんですよ。			ここクガネがある島、シシュウ産の米も悪くないんですがね、隣のコウシュウ産の米の方が、やっぱり上でしてね。高い金を払って、取り寄せているんですよ。			不治の病の荷運び人							
これも、宿に泊まるお客様に、喜んでもらうため。港まで取りに行くことくらい、お安い御用ってもんですよ。「ヤマビコ」さんにも、そう伝えてもらえますか。			これも、宿に泊まるお客様に、喜んでもらうため。港まで取りに行くことくらい、お安い御用ってもんですよ。「ヤマビコ」さんにも、そう伝えてもらえますか。			不治の病の荷運び人							
これも、宿に泊まるお客様に、喜んでもらうため。港まで取りに行くことくらい、お安い御用ってもんですよ。「ヤマビコ」さんにも、そう伝えてもらえますか。			これも、宿に泊まるお客様に、喜んでもらうため。港まで取りに行くことくらい、お安い御用ってもんですよ。「ヤマビコ」さんにも、そう伝えてもらえますか。			不治の病の荷運び人							
待っていたぞ。おぬし、ヤマビコ殿の使いだろう？			待っていたぞ。おぬし、ヤマビコ殿の使いだろう？			不治の病の荷運び人							
なんと不治の病で、荷運び人が休んでしまったと？遅いとは思っていたが、そんな事情があったのなら、仕方あるまい。			なんと不治の病で、荷運び人が休んでしまったと？遅いとは思っていたが、そんな事情があったのなら、仕方あるまい。			不治の病の荷運び人							
幕府が置かれたブキョウの都から、ようやく支援の物資が届いたようだな。急ぎ、取りに行かせる故、「ヤマビコ」殿にお伝え願えるか。			幕府が置かれたブキョウの都から、ようやく支援の物資が届いたようだな。急ぎ、取りに行かせる故、「ヤマビコ」殿にお伝え願えるか。			不治の病の荷運び人							
幕府が置かれたブキョウの都から、ようやく支援の物資が届いたようだな。急ぎ、取りに行かせる故、「ヤマビコ」殿にお伝え願えるか。			幕府が置かれたブキョウの都から、ようやく支援の物資が届いたようだな。急ぎ、取りに行かせる故、「ヤマビコ」殿にお伝え願えるか。			不治の病の荷運び人							
アンタ、何か用かい？			アンタ、何か用かい？			不治の病の荷運び人							
不治の病ねえ……まあ、ありゃ一生治らないか。わかった、後で取りに行くよ。「ヤマビコ」にも、そう伝えておいてくれ。			不治の病ねえ……まあ、ありゃ一生治らないか。わかった、後で取りに行くよ。「ヤマビコ」にも、そう伝えておいてくれ。			不治の病の荷運び人							
コウシュウでしか採れない、珍しい生薬でなきゃ、ラザハンの交易商も、納得しないだろうしな。あの国は錬金術がお盛んだから、ほんと、品質には気を遣うよ。			コウシュウでしか採れない、珍しい生薬でなきゃ、ラザハンの交易商も、納得しないだろうしな。あの国は錬金術がお盛んだから、ほんと、品質には気を遣うよ。			不治の病の荷運び人							
コウシュウでしか採れない、珍しい生薬じゃなきゃ、ラザハンの交易商も、納得しないだろうしな。後で取りに行くって、「ヤマビコ」に伝えておいてくれ。			コウシュウでしか採れない、珍しい生薬じゃなきゃ、ラザハンの交易商も、納得しないだろうしな。後で取りに行くって、「ヤマビコ」に伝えておいてくれ。			不治の病の荷運び人							
いやぁ、助かった。コウシュウから、はるばる船で渡ってきた甲斐があるってもんだ。これで、次の交易の準備に取りかかれる。			いやぁ、助かった。コウシュウから、はるばる船で渡ってきた甲斐があるってもんだ。これで、次の交易の準備に取りかかれる。			不治の病の荷運び人							
