「暁の血盟」のラドルフは、冒険者に頼みたいことがあるようだ。			「暁の血盟」のラドルフは、冒険者に頼みたいことがあるようだ。			スカルバレーの女丈夫							
やぁ、おかえり。先ほど、ヴォイス氏からの手紙を受け取ってね。君のシルフ領での大活躍、聞き及んでいるよ。			やぁ、おかえり。先ほど、ヴォイス氏からの手紙を受け取ってね。君のシルフ領での大活躍、聞き及んでいるよ。			奇跡の目撃者							
「伝説の御子」も無事、仮宿のシルフ族に保護されたようだし、シルフ領のシルフ族も、しばらく鳴りを潜めるだろう。			「伝説の御子」も無事、仮宿のシルフ族に保護されたようだし、シルフ領のシルフ族も、しばらく鳴りを潜めるだろう。			奇跡の目撃者							
「双蛇党」を代表して、君に謝意を伝えよう。ありがとう、Forename。しばしの間、グリダニアで冒険の疲れを癒してくれたまえ。			「双蛇党」を代表して、君に謝意を伝えよう。ありがとう、Forename。しばしの間、グリダニアで冒険の疲れを癒してくれたまえ。			奇跡の目撃者							
敵の気配を感じた！！			敵の気配を感じた！！			奇跡の目撃者							
さぁ、行きましょう！目指すは「ゆりかごの大樹」！待っていてください、御子ちゃま！　クエーーーッ！！			さぁ、行きましょう！目指すは「ゆりかごの大樹」！待っていてください、御子ちゃま！　クエーーーッ！！			奇跡の目撃者							
御子ちゃまを……お願いします……。どうか仮宿まで届けてください……。ボクに構わず……早くっ！！			御子ちゃまを……お願いします……。どうか仮宿まで届けてください……。ボクに構わず……早くっ！！			奇跡の目撃者							
冒険者さん、今回の件では本当にお世話になりました。双蛇党のボルセルさんには、ボクの方から報告しておきます。			冒険者さん、今回の件では本当にお世話になりました。双蛇党のボルセルさんには、ボクの方から報告しておきます。			奇跡の目撃者							
ボクはもう少し、このシルフの仮宿に留まり、彼らの生態について研究を続けようと思います。……そして、もう少し彼らと仲良くなれるよう、努力します！			ボクはもう少し、このシルフの仮宿に留まり、彼らの生態について研究を続けようと思います。……そして、もう少し彼らと仲良くなれるよう、努力します！			奇跡の目撃者							
冒険者さん……頼むでぶっち。シルフ族の未来は、お前さんの肩にかかってるのでぶっち！			冒険者さん……頼むでぶっち。シルフ族の未来は、お前さんの肩にかかってるのでぶっち！			奇跡の目撃者							
「御子ちゃま」は、ワチシら仮宿のシルフ族が育て親になり、立派な指導者にするでぶっち！			「御子ちゃま」は、ワチシら仮宿のシルフ族が育て親になり、立派な指導者にするでぶっち！			奇跡の目撃者							
御子ちゃまがオトナになるころには、きっと、シルフ族はみんな仲良くなって、この森も今より、ずっと住みやすくなるでぶっち！			御子ちゃまがオトナになるころには、きっと、シルフ族はみんな仲良くなって、この森も今より、ずっと住みやすくなるでぶっち！			奇跡の目撃者							
ク、クエッ！？あ、ありましたよ……！あそこにあるのが、伝説の御子の「ゆりかご」ですっ！			ク、クエッ！？あ、ありましたよ……！あそこにあるのが、伝説の御子の「ゆりかご」ですっ！			奇跡の目撃者							
待つでふっち！御子ちゃまを返すでふっち！			待つでふっち！御子ちゃまを返すでふっち！			奇跡の目撃者							
その行動は出現した敵を倒さないと実行できません			その行動は出現した敵を倒さないと実行できません			奇跡の目撃者							
「シルフ族：仮宿のシルフ」との友好関係が「信頼」になりました。冒険者の活躍は、シルフ族の間でも広く語られるでしょう！			「シルフ族：仮宿のシルフ」との友好関係が「信頼」になりました。冒険者の活躍は、シルフ族の間でも広く語られるでしょう！			奇跡の目撃者							
また、「シルフ族のよろず屋」より、「友好関係：信頼」の商品の購入ができるようになりました。今後の冒険に役立てましょう！			また、「シルフ族のよろず屋」より、「友好関係：信頼」の商品の購入ができるようになりました。今後の冒険に役立てましょう！			奇跡の目撃者							
第789洞穴団の採掘地のピックマン789 ギ・グは、何やら慌てた様子で冒険者にお願いしたいことがあるようだ。			第789洞穴団の採掘地のピックマン789 ギ・グは、何やら慌てた様子で冒険者にお願いしたいことがあるようだ。			クズテツどもの挽歌							
前回までの冒険録：ひょんなことから、コボルド族の社会の最底辺集団「第789洞穴団」の復讐（という名の嫌がらせ）に加担することとなった冒険者。キャンプ・オーバールックのブルーエイディン少甲佐から、復讐相手である「フューグルマン13 ゾ・ガ」の「計画」の全容が明かされる。それは「新型錬金釜」によって造り出した強力なボムを切り札に、人勢力と対決するという過激な計画だった。冒険者はチマチマとした嫌がらせで時間を稼ぐ最中、悪いコボルド族に襲われていた女の子「アルケミスト175 ビ・ビ」を救出する。彼女から、幼馴染であり第789洞穴団を率いる「ピックマン789 ギ・グ」へ送られた手紙……それは新型錬金釜の内部構造を記した設計図だった。ついに、フューグルマン13 ゾ・ガへの決定的な復讐の糸口を見つけた第789洞穴団。最後の復讐（という名の、最悪の嫌がらせ）が、間もなく始まろうとしている……。　　　　　　　　　　　　*　*　*ピックマン789 ギ・グによると、アルケミスト175 ビ・ビが近くに来ているらしい。第789洞穴団の採掘地の「アルケミスト175 ビ・ビ」と話し、事情を聞こう。			前回までの冒険録：ひょんなことから、コボルド族の社会の最底辺集団「第789洞穴団」の復讐（という名の嫌がらせ）に加担することとなった冒険者。キャンプ・オーバールックのブルーエイディン少甲佐から、復讐相手である「フューグルマン13 ゾ・ガ」の「計画」の全容が明かされる。それは「新型錬金釜」によって造り出した強力なボムを切り札に、人勢力と対決するという過激な計画だった。冒険者はチマチマとした嫌がらせで時間を稼ぐ最中、悪いコボルド族に襲われていた女の子「アルケミスト175 ビ・ビ」を救出する。彼女から、幼馴染であり第789洞穴団を率いる「ピックマン789 ギ・グ」へ送られた手紙……それは新型錬金釜の内部構造を記した設計図だった。ついに、フューグルマン13 ゾ・ガへの決定的な復讐の糸口を見つけた第789洞穴団。最後の復讐（という名の、最悪の嫌がらせ）が、間もなく始まろうとしている……。　　　　　　　　　　　　*　*　*ピックマン789 ギ・グによると、アルケミスト175 ビ・ビが近くに来ているらしい。第789洞穴団の採掘地の「アルケミスト175 ビ・ビ」と話し、事情を聞こう。			クズテツどもの挽歌							
