エーテライト・プラザのムジ・ミュリラーのもとに新たな依頼が届いたようだ。			エーテライト・プラザのムジ・ミュリラーのもとに新たな依頼が届いたようだ。			連載第二回「マメが繋ぐ交流の芽」							
ここは白亜の宮殿と、少し雰囲気が似てるくぽ。ムカシの偉いドラゴン族が、棲んでいた場所かもくぽ？			ここは白亜の宮殿と、少し雰囲気が似てるくぽ。ムカシの偉いドラゴン族が、棲んでいた場所かもくぽ？			サルウーム・カシュの歴史							
ありがとうくぽ！　みんな戻ってきたくぽ！みんなの話を聞くかぎり、ここは宮殿だったみたいくぽ。「ラタトスク」っていうドラゴン族が持ち主だったくぽ。			ありがとうくぽ！　みんな戻ってきたくぽ！みんなの話を聞くかぎり、ここは宮殿だったみたいくぽ。「ラタトスク」っていうドラゴン族が持ち主だったくぽ。			サルウーム・カシュの歴史							
聖竜様や邪竜様以外にも、自分だけの宮殿を持っていたなんて……きっと、すんごいドラゴン族だったに違いないくぽ！			聖竜様や邪竜様以外にも、自分だけの宮殿を持っていたなんて……きっと、すんごいドラゴン族だったに違いないくぽ！			サルウーム・カシュの歴史							
とりあえず、ここにいると、なんだか怖いから……すぐに帰るくぽ。いろいろ、お世話になったくぽー！			とりあえず、ここにいると、なんだか怖いから……すぐに帰るくぽ。いろいろ、お世話になったくぽー！			サルウーム・カシュの歴史							
飛竜泊のごそごそモーグリは、不満そうにしている。			飛竜泊のごそごそモーグリは、不満そうにしている。			ヒト憎けりゃ物まで憎い							
ごそごそモーグリの話を聞いた。ヒトの武具や道具を集めていたら、ヴィーヴルに襲われ、持ち去られてしまったようだ。飛竜泊のヴィーヴルを討伐し、まれに得られる「ピカピカの古道具」を3個入手しよう。			ごそごそモーグリの話を聞いた。ヒトの武具や道具を集めていたら、ヴィーヴルに襲われ、持ち去られてしまったようだ。飛竜泊のヴィーヴルを討伐し、まれに得られる「ピカピカの古道具」を3個入手しよう。			ヒト憎けりゃ物まで憎い							
ピカピカの古道具を取り返した。飛竜泊の「ごそごそモーグリ」に渡そう。			ピカピカの古道具を取り返した。飛竜泊の「ごそごそモーグリ」に渡そう。			ヒト憎けりゃ物まで憎い							
ごそごそモーグリに渡した。ヴィーヴルは人を憎んでおり、モーグリ族がその道具を利用するのを良く思っていないようだ。			ごそごそモーグリに渡した。ヴィーヴルは人を憎んでおり、モーグリ族がその道具を利用するのを良く思っていないようだ。			ヒト憎けりゃ物まで憎い							
ヴィーヴルからまれに得られるピカピカの古道具を入手			ヴィーヴルからまれに得られるピカピカの古道具を入手			ヒト憎けりゃ物まで憎い							
ごそごそモーグリにピカピカの古道具渡す			ごそごそモーグリにピカピカの古道具渡す			ヒト憎けりゃ物まで憎い							
遺跡に行って、ピカピカした古道具を集めていたら、怖いヴィーヴルに襲われて、奪われてしまったくぽ！でも、モグにはフクシューをするだけの実力がないくぽ！			遺跡に行って、ピカピカした古道具を集めていたら、怖いヴィーヴルに襲われて、奪われてしまったくぽ！でも、モグにはフクシューをするだけの実力がないくぽ！			ヒト憎けりゃ物まで憎い							
モグの代わりにヴィーヴルをこらしめて、「ピカピカの古道具」を3つとも取り戻してほしいくぽ！			モグの代わりにヴィーヴルをこらしめて、「ピカピカの古道具」を3つとも取り戻してほしいくぽ！			ヒト憎けりゃ物まで憎い							
モグの代わりにヴィーヴルをこらしめて、「ピカピカの古道具」を3つとも取り戻してほしいくぽ！			モグの代わりにヴィーヴルをこらしめて、「ピカピカの古道具」を3つとも取り戻してほしいくぽ！			ヒト憎けりゃ物まで憎い							
モグの代わりにヴィーヴルをこらしめて、「ピカピカの古道具」を3つとも取り戻してほしいくぽ！			モグの代わりにヴィーヴルをこらしめて、「ピカピカの古道具」を3つとも取り戻してほしいくぽ！			ヒト憎けりゃ物まで憎い							
これくぽ！　戻ってきてよかったくぽ！とっても感謝するくぽ！			これくぽ！　戻ってきてよかったくぽ！とっても感謝するくぽ！			ヒト憎けりゃ物まで憎い							
ヴィーヴルはヒトを憎んでるから、モグたちがヒトの道具を使うのが許せないんだくぽ。そんなに憎み合わなくても……道具に罪はないくぽ……。			ヴィーヴルはヒトを憎んでるから、モグたちがヒトの道具を使うのが許せないんだくぽ。そんなに憎み合わなくても……道具に罪はないくぽ……。			ヒト憎けりゃ物まで憎い							
モグモグホーム付近のモグシアは、とても慌てているようだ。			モグモグホーム付近のモグシアは、とても慌てているようだ。			風に吹かれて							
モグシアに話を聞いた。風によって、ふわふわの浮草が聖女シヴァ像の方角に飛ばされてしまったそうだ。ドラヴァニア雲海の南西で「フワフワ浮草」を3個入手しよう。			モグシアに話を聞いた。風によって、ふわふわの浮草が聖女シヴァ像の方角に飛ばされてしまったそうだ。ドラヴァニア雲海の南西で「フワフワ浮草」を3個入手しよう。			風に吹かれて							
フワフワ浮草を入手した。モグモグホーム付近の「モグシア」に渡そう。			フワフワ浮草を入手した。モグモグホーム付近の「モグシア」に渡そう。			風に吹かれて							
モグシアにフワフワ浮草を渡した。無事にフワフワ浮草を回収できてほっとしているようだ。			モグシアにフワフワ浮草を渡した。無事にフワフワ浮草を回収できてほっとしているようだ。			風に吹かれて							
