アルフィノは、今後について冒険者と話がしたいようだ。									アルフィノは、今後について冒険者と話がしたいようだ。	イシュガルドへ
くそ、ここまでか！　グナース族の兵たちよ、我らは投降しよう！お前たちの神の前に、引きずり出すがいい。その神判を仰ぐ覚悟はできてる！									くそ、ここまでか！　グナース族の兵たちよ、我らは投降しよう！お前たちの神の前に、引きずり出すがいい。その神判を仰ぐ覚悟はできてる！	武神降臨
あとは、グナース族の神の前に、引き出させるのを待つばかり。神降ろしをするとなれば、奴らも準備を整えているはず……。であれば、私にも勝機はあるさ。									あとは、グナース族の神の前に、引き出させるのを待つばかり。神降ろしをするとなれば、奴らも準備を整えているはず……。であれば、私にも勝機はあるさ。	武神降臨
……後ろの谷底に川が流れていたな。反響する川の音に紛れれば、外にでることができるかもしれん。									……後ろの谷底に川が流れていたな。反響する川の音に紛れれば、外にでることができるかもしれん。	武神降臨
まだ、準備が整っていないのであれば、私が囮として残ろう。グナース族に気付かれぬよう、戻ってこいよ。									まだ、準備が整っていないのであれば、私が囮として残ろう。グナース族に気付かれぬよう、戻ってこいよ。	武神降臨
想定どおりに進んでいるな……。あとは、グナース族の神の前に、引き出させるのを待つばかり。									想定どおりに進んでいるな……。あとは、グナース族の神の前に、引き出させるのを待つばかり。	武神降臨
逃がしはせぬぞ、決してな！									逃がしはせぬぞ、決してな！	武神降臨
逃がしはせぬぞ、決してな！									逃がしはせぬぞ、決してな！	武神降臨
さあ、グナース族の棲処に潜入するぞ。									さあ、グナース族の棲処に潜入するぞ。	武神降臨
「供物穴」に入りますか？									「供物穴」に入りますか？	武神降臨
はい									はい	武神降臨
いいえ									いいえ	武神降臨
はぁ、はぁ、はぁ……よもや、あれほどとは……。無様なところを……見せたな……すまない……。……後は頼んだ…………。									はぁ、はぁ、はぁ……よもや、あれほどとは……。無様なところを……見せたな……すまない……。……後は頼んだ…………。	武神降臨
武神に敵なし！　勝利こそ栄光なり！									武神に敵なし！　勝利こそ栄光なり！	武神降臨
武神に敵なし！　勝利こそ栄光なり！									武神に敵なし！　勝利こそ栄光なり！	武神降臨
武神に敵なし！　勝利こそ栄光なり！									武神に敵なし！　勝利こそ栄光なり！	武神降臨
不甲斐ないところを見せてしまったな……。だが、さすがは光の戦士……見事だったぞ。									不甲斐ないところを見せてしまったな……。だが、さすがは光の戦士……見事だったぞ。	武神降臨
ともかく、ヴィゾーヴニルとの約束は果たせた。アルフィノたちと合流しよう。									ともかく、ヴィゾーヴニルとの約束は果たせた。アルフィノたちと合流しよう。	武神降臨
無事に神狩りを成したようだな。見事だ、光の戦士よ。									無事に神狩りを成したようだな。見事だ、光の戦士よ。	武神降臨
無事だったか、Forename！ところでイゼルは、どうしたんだい？									無事だったか、Forename！ところでイゼルは、どうしたんだい？	武神降臨
無事だったか、Forename！									無事だったか、Forename！	武神降臨
グナース族の蛮神……「ラーヴァナ」か……。誇り高き武の神であれば、君たちと交わした不可侵の約束を、一方的に破ることはなさそうだな……。									グナース族の蛮神……「ラーヴァナ」か……。誇り高き武の神であれば、君たちと交わした不可侵の約束を、一方的に破ることはなさそうだな……。	武神降臨
ああ、私もそう思っている。									ああ、私もそう思っている。	武神降臨
それもこれも、策に溺れた私を救ってくれた、Forenameのお陰だ……感謝しているぞ。									それもこれも、策に溺れた私を救ってくれた、Forenameのお陰だ……感謝しているぞ。	武神降臨
