石の家のタタルは、冒険者に聞きたいことがあるようだ。									石の家のタタルは、冒険者に聞きたいことがあるようだ。	生命力の揺らぎ
いい返事ね、そうこなくっちゃ。									いい返事ね、そうこなくっちゃ。	フラウンダーの野望
一度ならそれでいいとしても、フラウンダーを放置すれば、また潮溜まりのオンドたちは略奪を受ける。だから、今回は奪還にこだわるべきだと思うのよ。									一度ならそれでいいとしても、フラウンダーを放置すれば、また潮溜まりのオンドたちは略奪を受ける。だから、今回は奪還にこだわるべきだと思うのよ。	フラウンダーの野望
結論は出たようだね。喜んで彼らの力になってあげようじゃないか。									結論は出たようだね。喜んで彼らの力になってあげようじゃないか。	フラウンダーの野望
汝らが、取り返してくれると？それは助かる……！									汝らが、取り返してくれると？それは助かる……！	フラウンダーの野望
奪われたのは、「肝入りの大袋」。きっと北西の、奴らの拠点、「フラウンダーの穴蔵」にある。武装した者たち、たくさんいるゆえ、気をつけるがいい。									奪われたのは、「肝入りの大袋」。きっと北西の、奴らの拠点、「フラウンダーの穴蔵」にある。武装した者たち、たくさんいるゆえ、気をつけるがいい。	フラウンダーの野望
それじゃあ、皆でフラウンダーの穴蔵へ向かい、手分けして「肝入りの大袋」を探しましょう。									それじゃあ、皆でフラウンダーの穴蔵へ向かい、手分けして「肝入りの大袋」を探しましょう。	フラウンダーの野望
奪われた、「肝入りの大袋」、きっと北西の、奴らの拠点、「フラウンダーの穴蔵」にある。武装した者たち、たくさんいるゆえ、気をつけるがいい。									奪われた、「肝入りの大袋」、きっと北西の、奴らの拠点、「フラウンダーの穴蔵」にある。武装した者たち、たくさんいるゆえ、気をつけるがいい。	フラウンダーの野望
穴蔵の中はかなり暗いようだから、気をつけてくれ。わ、私は君のあとに続くよ……。									穴蔵の中はかなり暗いようだから、気をつけてくれ。わ、私は君のあとに続くよ……。	フラウンダーの野望
名前どおり、フラウンダーの巣窟ね。いちいち真っ向から挑んでたら、キリがないわ……。									名前どおり、フラウンダーの巣窟ね。いちいち真っ向から挑んでたら、キリがないわ……。	フラウンダーの野望
この辺りには、それらしきものはないわね……。									この辺りには、それらしきものはないわね……。	フラウンダーの野望
こいつはハズレだ、ムニリの肝じゃない。どちらかと言うと、人の食料に見えるが……。									こいつはハズレだ、ムニリの肝じゃない。どちらかと言うと、人の食料に見えるが……。	フラウンダーの野望
リーンがこの先を、身軽によじ登っていきました。さすがは、サンクレッドの手ほどきを受けただけあります。									リーンがこの先を、身軽によじ登っていきました。さすがは、サンクレッドの手ほどきを受けただけあります。	フラウンダーの野望
ハッ、Forenameさん……！違うんです、遊んでいるわけじゃないんです！この子が、なんだか寂しそうな目で見てくるもので……。									ハッ、Forenameさん……！違うんです、遊んでいるわけじゃないんです！この子が、なんだか寂しそうな目で見てくるもので……。	フラウンダーの野望
