フォルタン家の騎兵は、話したいことがあるようだ。									フォルタン家の騎兵は、話したいことがあるようだ。	戦う者たちの休息
ロウェナ記念会館内の工房、「ダイヤモンドフォージ」で待っていてほしいのでっす。詳しいことは、そこでお話しますから……お願いしまっす！									ロウェナ記念会館内の工房、「ダイヤモンドフォージ」で待っていてほしいのでっす。詳しいことは、そこでお話しますから……お願いしまっす！	ギラバニアからの報せ
ご足労をおかけしまっした。頼みというのは、難しいことじゃありまっせん。しばらくの間、そのままじっとしていてくれればいいのでっす。									ご足労をおかけしまっした。頼みというのは、難しいことじゃありまっせん。しばらくの間、そのままじっとしていてくれればいいのでっす。	ギラバニアからの報せ
さあ、ダイヤモンドフォージの腕利き職人のみなさん！準備はよろしいでっすね？									さあ、ダイヤモンドフォージの腕利き職人のみなさん！準備はよろしいでっすね？	ギラバニアからの報せ
そうそう……そのまま……悪いようにはしないのでっす……。									そうそう……そのまま……悪いようにはしないのでっす……。	ギラバニアからの報せ
ぬふふふふふふふふふふ！									ぬふふふふふふふふふふ！	ギラバニアからの報せ
さあ、すべて完了でっす！Forenameさんのあんなところや、こんなところまで、長さや幅をバッチリ記録しまっした！									さあ、すべて完了でっす！Forenameさんのあんなところや、こんなところまで、長さや幅をバッチリ記録しまっした！	ギラバニアからの報せ
この採寸結果をどうするか気になりまっすか？ダメダメ……まだ秘密なのでっす！									この採寸結果をどうするか気になりまっすか？ダメダメ……まだ秘密なのでっす！	ギラバニアからの報せ
あっ、Surname！こんなところにいたんだ！									あっ、Surname！こんなところにいたんだ！	ギラバニアからの報せ
アルフィノから頼まれて、探してたんだよね。よくわからないけど、石の家の「暁の間」に集合だってさ。とにかく行ってみようよ。									アルフィノから頼まれて、探してたんだよね。よくわからないけど、石の家の「暁の間」に集合だってさ。とにかく行ってみようよ。	ギラバニアからの報せ
Forenameさん、もうこちらの用件は済みましたから、アルフィノさんのところに行ってあげてくださいでっす！									Forenameさん、もうこちらの用件は済みましたから、アルフィノさんのところに行ってあげてくださいでっす！	ギラバニアからの報せ
ナーゴのことは心配だけど、クルルやタタルたちに任せるしかないよね……。									ナーゴのことは心配だけど、クルルやタタルたちに任せるしかないよね……。	ギラバニアからの報せ
ヤ・シュトラたちと相談して、僕らは黒衣森の東部森林に向かうことにしたんだ。シルフ族の反応も気になるし、国境線も見張っておきたいからね。									ヤ・シュトラたちと相談して、僕らは黒衣森の東部森林に向かうことにしたんだ。シルフ族の反応も気になるし、国境線も見張っておきたいからね。	ギラバニアからの報せ
ふふっ……あなたって、意外と大きいのね。									ふふっ……あなたって、意外と大きいのね。	ギラバニアからの報せ
……何がって？心が、よ。									……何がって？心が、よ。	ギラバニアからの報せ
ロウェナ女史の眼光が、蛇の鋭さだとすると、タタル女史の眼光は、猛禽類のぎらつき……。そのどちらも恐ろしい……。									ロウェナ女史の眼光が、蛇の鋭さだとすると、タタル女史の眼光は、猛禽類のぎらつき……。そのどちらも恐ろしい……。	ギラバニアからの報せ
